date,ukey,value,factor
2021-01-29,530,-95.84,risk_fac_growth_np_yoy
2021-01-29,533,1207.55,risk_fac_growth_np_yoy
2021-01-29,531,121.78,risk_fac_growth_np_yoy
2021-01-29,532,453.28,risk_fac_growth_np_yoy
2021-01-29,534,-14.45,risk_fac_growth_np_yoy
2021-01-29,536,139.28,risk_fac_growth_np_yoy
2021-01-29,537,-22.35,risk_fac_growth_np_yoy
2021-01-29,538,20.08,risk_fac_growth_np_yoy
2021-01-29,539,17.22,risk_fac_growth_np_yoy
2021-01-29,541,0.89,risk_fac_growth_np_yoy
2021-01-29,543,16.81,risk_fac_growth_np_yoy
2021-01-29,544,73.79,risk_fac_growth_np_yoy
2021-01-29,545,-201.93,risk_fac_growth_np_yoy
2021-01-29,546,1.37,risk_fac_growth_np_yoy
2021-01-29,547,35.79,risk_fac_growth_np_yoy
2021-01-29,548,76.52,risk_fac_growth_np_yoy
2021-01-29,550,127.42,risk_fac_growth_np_yoy
2021-01-29,551,5.22,risk_fac_growth_np_yoy
2021-01-29,552,-0.42,risk_fac_growth_np_yoy
2021-01-29,554,-43.72,risk_fac_growth_np_yoy
2021-01-29,553,-71.68,risk_fac_growth_np_yoy
2021-01-29,555,14.89,risk_fac_growth_np_yoy
2021-01-29,557,1165.2,risk_fac_growth_np_yoy
2021-01-29,558,63.77,risk_fac_growth_np_yoy
2021-01-29,559,-28.86,risk_fac_growth_np_yoy
2021-01-29,560,-61.93,risk_fac_growth_np_yoy
2021-01-29,561,21.2,risk_fac_growth_np_yoy
2021-01-29,563,17.19,risk_fac_growth_np_yoy
2021-01-29,564,-125.77,risk_fac_growth_np_yoy
2021-01-29,565,-36.68,risk_fac_growth_np_yoy
2021-01-29,567,-24.49,risk_fac_growth_np_yoy
2021-01-29,566,-84.36,risk_fac_growth_np_yoy
2021-01-29,568,26.88,risk_fac_growth_np_yoy
2021-01-29,570,94.16,risk_fac_growth_np_yoy
2021-01-29,571,-2.74,risk_fac_growth_np_yoy
2021-01-29,572,-16.384266334,risk_fac_growth_np_yoy
2021-01-29,573,-105.77,risk_fac_growth_np_yoy
2021-01-29,576,772.37,risk_fac_growth_np_yoy
2021-01-29,581,29.16,risk_fac_growth_np_yoy
2021-01-29,582,16.0,risk_fac_growth_np_yoy
2021-01-29,586,40.71,risk_fac_growth_np_yoy
2021-01-29,589,214.53,risk_fac_growth_np_yoy
2021-01-29,590,11.5,risk_fac_growth_np_yoy
2021-01-29,591,19.7,risk_fac_growth_np_yoy
2021-01-29,592,2.07,risk_fac_growth_np_yoy
2021-01-29,593,-14.36,risk_fac_growth_np_yoy
2021-01-29,595,38.85,risk_fac_growth_np_yoy
2021-01-29,596,-11.71,risk_fac_growth_np_yoy
2021-01-29,597,-99.54,risk_fac_growth_np_yoy
2021-01-29,598,11.88,risk_fac_growth_np_yoy
2021-01-29,599,-75.62,risk_fac_growth_np_yoy
2021-01-29,600,77.85,risk_fac_growth_np_yoy
2021-01-29,601,-27.46,risk_fac_growth_np_yoy
2021-01-29,603,-48.18,risk_fac_growth_np_yoy
2021-01-29,605,3.52,risk_fac_growth_np_yoy
2021-01-29,607,-78.38,risk_fac_growth_np_yoy
2021-01-29,608,-81.25,risk_fac_growth_np_yoy
2021-01-29,609,62.8,risk_fac_growth_np_yoy
2021-01-29,610,2040.56,risk_fac_growth_np_yoy
2021-01-29,612,1264.02,risk_fac_growth_np_yoy
2021-01-29,615,-125.64,risk_fac_growth_np_yoy
2021-01-29,619,97.59,risk_fac_growth_np_yoy
2021-01-29,617,2.14,risk_fac_growth_np_yoy
2021-01-29,620,-516.94,risk_fac_growth_np_yoy
2021-01-29,625,230.98,risk_fac_growth_np_yoy
2021-01-29,623,29.66,risk_fac_growth_np_yoy
2021-01-29,626,-177.14,risk_fac_growth_np_yoy
2021-01-29,628,120.8,risk_fac_growth_np_yoy
2021-01-29,629,-86.52,risk_fac_growth_np_yoy
2021-01-29,630,5.63,risk_fac_growth_np_yoy
2021-01-29,631,-63.76,risk_fac_growth_np_yoy
2021-01-29,632,30.96,risk_fac_growth_np_yoy
2021-01-29,633,216.08,risk_fac_growth_np_yoy
2021-01-29,636,-1.93,risk_fac_growth_np_yoy
2021-01-29,635,-42.8,risk_fac_growth_np_yoy
2021-01-29,637,-80.4,risk_fac_growth_np_yoy
2021-01-29,638,,risk_fac_growth_np_yoy
2021-01-29,639,-14.24,risk_fac_growth_np_yoy
2021-01-29,650,-15.8,risk_fac_growth_np_yoy
2021-01-29,651,-38.06,risk_fac_growth_np_yoy
2021-01-29,652,13.6,risk_fac_growth_np_yoy
2021-01-29,655,19.15,risk_fac_growth_np_yoy
2021-01-29,656,11.46,risk_fac_growth_np_yoy
2021-01-29,659,-74.33,risk_fac_growth_np_yoy
2021-01-29,657,40.0,risk_fac_growth_np_yoy
2021-01-29,661,82.19,risk_fac_growth_np_yoy
2021-01-29,663,-71.39,risk_fac_growth_np_yoy
2021-01-29,665,-149.46,risk_fac_growth_np_yoy
2021-01-29,669,202.5,risk_fac_growth_np_yoy
2021-01-29,668,-131.77,risk_fac_growth_np_yoy
2021-01-29,670,81.73,risk_fac_growth_np_yoy
2021-01-29,676,-126.67,risk_fac_growth_np_yoy
2021-01-29,672,-1.73,risk_fac_growth_np_yoy
2021-01-29,678,-121.14,risk_fac_growth_np_yoy
2021-01-29,677,-10.45,risk_fac_growth_np_yoy
2021-01-29,680,-18.82,risk_fac_growth_np_yoy
2021-01-29,679,119.63,risk_fac_growth_np_yoy
2021-01-29,681,-43.15,risk_fac_growth_np_yoy
2021-01-29,682,6.54,risk_fac_growth_np_yoy
2021-01-29,683,-108.22,risk_fac_growth_np_yoy
2021-01-29,685,42.86,risk_fac_growth_np_yoy
2021-01-29,686,12.03,risk_fac_growth_np_yoy
2021-01-29,688,-54.32,risk_fac_growth_np_yoy
2021-01-29,690,200.69,risk_fac_growth_np_yoy
2021-01-29,691,416.53,risk_fac_growth_np_yoy
2021-01-29,692,-5.92,risk_fac_growth_np_yoy
2021-01-29,695,-299.23,risk_fac_growth_np_yoy
2021-01-29,697,-159.65,risk_fac_growth_np_yoy
2021-01-29,698,117.83,risk_fac_growth_np_yoy
2021-01-29,700,-142.53,risk_fac_growth_np_yoy
2021-01-29,701,162.43,risk_fac_growth_np_yoy
2021-01-29,702,-86.61,risk_fac_growth_np_yoy
2021-01-29,703,38.09,risk_fac_growth_np_yoy
2021-01-29,705,5.14,risk_fac_growth_np_yoy
2021-01-29,707,-2063.91,risk_fac_growth_np_yoy
2021-01-29,708,4.23,risk_fac_growth_np_yoy
2021-01-29,709,-34.79,risk_fac_growth_np_yoy
2021-01-29,710,-51.87,risk_fac_growth_np_yoy
2021-01-29,711,-1406.22,risk_fac_growth_np_yoy
2021-01-29,712,62.25,risk_fac_growth_np_yoy
2021-01-29,715,-84.42,risk_fac_growth_np_yoy
2021-01-29,713,187.21,risk_fac_growth_np_yoy
2021-01-29,716,-184.85,risk_fac_growth_np_yoy
2021-01-29,717,-6.0,risk_fac_growth_np_yoy
2021-01-29,719,9.05,risk_fac_growth_np_yoy
2021-01-29,718,5.27,risk_fac_growth_np_yoy
2021-01-29,720,-128.05,risk_fac_growth_np_yoy
2021-01-29,721,-247.23,risk_fac_growth_np_yoy
2021-01-29,722,-34.92,risk_fac_growth_np_yoy
2021-01-29,723,-44.25,risk_fac_growth_np_yoy
2021-01-29,725,33.67,risk_fac_growth_np_yoy
2021-01-29,726,-83.73,risk_fac_growth_np_yoy
2021-01-29,727,47.26,risk_fac_growth_np_yoy
2021-01-29,728,54.39,risk_fac_growth_np_yoy
2021-01-29,729,-24.68,risk_fac_growth_np_yoy
2021-01-29,731,-33.95,risk_fac_growth_np_yoy
2021-01-29,733,20.25,risk_fac_growth_np_yoy
2021-01-29,735,340.77,risk_fac_growth_np_yoy
2021-01-29,736,75.09,risk_fac_growth_np_yoy
2021-01-29,737,4598.14,risk_fac_growth_np_yoy
2021-01-29,738,30.75,risk_fac_growth_np_yoy
2021-01-29,739,45.99,risk_fac_growth_np_yoy
2021-01-29,750,57.7,risk_fac_growth_np_yoy
2021-01-29,751,2.26,risk_fac_growth_np_yoy
2021-01-29,752,-6.61,risk_fac_growth_np_yoy
2021-01-29,755,-179.35,risk_fac_growth_np_yoy
2021-01-29,753,41.18,risk_fac_growth_np_yoy
2021-01-29,756,2.03,risk_fac_growth_np_yoy
2021-01-29,757,-86.69,risk_fac_growth_np_yoy
2021-01-29,758,143.47,risk_fac_growth_np_yoy
2021-01-29,759,79.32,risk_fac_growth_np_yoy
2021-01-29,761,-41.84,risk_fac_growth_np_yoy
2021-01-29,762,-97.92,risk_fac_growth_np_yoy
2021-01-29,766,-200.06,risk_fac_growth_np_yoy
2021-01-29,767,204.88,risk_fac_growth_np_yoy
2021-01-29,768,32.77,risk_fac_growth_np_yoy
2021-01-29,776,44.95,risk_fac_growth_np_yoy
2021-01-29,778,10.55,risk_fac_growth_np_yoy
2021-01-29,777,-41.61,risk_fac_growth_np_yoy
2021-01-29,779,-11.35,risk_fac_growth_np_yoy
2021-01-29,782,-6.37,risk_fac_growth_np_yoy
2021-01-29,783,32.06,risk_fac_growth_np_yoy
2021-01-29,785,-59.91,risk_fac_growth_np_yoy
2021-01-29,786,18611.18,risk_fac_growth_np_yoy
2021-01-29,789,12.59,risk_fac_growth_np_yoy
2021-01-29,788,-11.65,risk_fac_growth_np_yoy
2021-01-29,790,-41.79,risk_fac_growth_np_yoy
2021-01-29,791,-1.23,risk_fac_growth_np_yoy
2021-01-29,792,-520.51,risk_fac_growth_np_yoy
2021-01-29,793,-385.75,risk_fac_growth_np_yoy
2021-01-29,795,6.6988946722,risk_fac_growth_np_yoy
2021-01-29,796,-189.3,risk_fac_growth_np_yoy
2021-01-29,797,-148.95,risk_fac_growth_np_yoy
2021-01-29,798,-548.85,risk_fac_growth_np_yoy
2021-01-29,799,79.76,risk_fac_growth_np_yoy
2021-01-29,800,48.56,risk_fac_growth_np_yoy
2021-01-29,801,811.42,risk_fac_growth_np_yoy
2021-01-29,803,103.83,risk_fac_growth_np_yoy
2021-01-29,802,-192.37,risk_fac_growth_np_yoy
2021-01-29,807,95.19,risk_fac_growth_np_yoy
2021-01-29,809,-35.51,risk_fac_growth_np_yoy
2021-01-29,810,-43.21,risk_fac_growth_np_yoy
2021-01-29,812,-62.72,risk_fac_growth_np_yoy
2021-01-29,811,-40.64,risk_fac_growth_np_yoy
2021-01-29,813,-29.22,risk_fac_growth_np_yoy
2021-01-29,815,-2.14,risk_fac_growth_np_yoy
2021-01-29,816,139.6920326226,risk_fac_growth_np_yoy
2021-01-29,818,-24.77,risk_fac_growth_np_yoy
2021-01-29,819,-89.08,risk_fac_growth_np_yoy
2021-01-29,820,-25.82,risk_fac_growth_np_yoy
2021-01-29,821,-36.32,risk_fac_growth_np_yoy
2021-01-29,822,-144.48,risk_fac_growth_np_yoy
2021-01-29,823,2.53,risk_fac_growth_np_yoy
2021-01-29,825,-42.03,risk_fac_growth_np_yoy
2021-01-29,828,-20.22,risk_fac_growth_np_yoy
2021-01-29,826,-47.92,risk_fac_growth_np_yoy
2021-01-29,829,181.71,risk_fac_growth_np_yoy
2021-01-29,830,-46.58,risk_fac_growth_np_yoy
2021-01-29,831,118.81,risk_fac_growth_np_yoy
2021-01-29,833,-202.28,risk_fac_growth_np_yoy
2021-01-29,837,2212.4378218701,risk_fac_growth_np_yoy
2021-01-29,838,77.65,risk_fac_growth_np_yoy
2021-01-29,839,-271.18,risk_fac_growth_np_yoy
2021-01-29,848,-17.26,risk_fac_growth_np_yoy
2021-01-29,850,-8.31,risk_fac_growth_np_yoy
2021-01-29,852,-84.03,risk_fac_growth_np_yoy
2021-01-29,856,-38.24,risk_fac_growth_np_yoy
