cfg,n,wr,med,mean,ex_m,h1_n,h1_wr,h1_med,h2_n,h2_wr,h2_med,gate4
P0_当前生产,880,49.0,-0.177,0.329,-0.313,474,46.41,-0.561,406,51.97,0.209,FAIL
P1_收窄_rp03,329,50.2,0.03,0.761,-0.28,214,44.86,-0.623,115,60.0,0.908,PASS
P2_收窄_rp03缩,94,60.6,0.982,0.595,0.836,45,48.89,-0.388,49,71.43,1.525,PASS
P3_收窄_rp025,255,49.8,-0.01,0.478,-0.321,174,46.55,-0.497,81,56.79,0.823,FAIL
P4_收窄_rp02,198,49.5,-0.029,0.439,-0.348,144,47.22,-0.447,54,55.56,1.243,FAIL
P5_收窄_rp03缩12,39,64.1,1.149,0.556,1.202,17,47.06,-1.147,22,77.27,1.742,PASS
P6_浅低缩量全,156,59.6,0.825,0.832,0.657,63,49.21,-0.388,93,66.67,1.395,PASS
