cfg,n,wr,med,mean,ex_m,h1_n,h1_wr,h1_med,h2_n,h2_wr,h2_med,gate4
Q1_放量1.5,685,46.3,-0.608,0.147,-0.689,392,44.9,-0.861,293,48.12,-0.333,FAIL
Q2_缩量1.5,195,58.5,0.823,0.969,0.581,82,53.66,0.413,113,61.95,1.115,PASS
Q3_低位rp03,631,50.7,0.065,0.552,0.062,289,46.02,-0.562,342,54.68,0.572,PASS
Q4_放量1.5_4x,515,49.1,-0.106,0.318,-0.184,286,48.25,-0.189,229,50.22,0.03,FAIL
Q5_浅低开_放量,524,46.6,-0.614,0.218,-0.719,305,44.92,-0.871,219,48.86,-0.321,FAIL
Q6_浅低开_缩量,156,59.6,0.825,0.832,0.657,63,49.21,-0.388,93,66.67,1.395,PASS
