基金代码,基金简称,基金类型
000001,华夏成长混合,混合型-灵活
000002,华夏成长混合(后端),混合型-灵活
000003,中海可转债债券A,债券型-混合二级
000004,中海可转债债券C,债券型-混合二级
000005,嘉实增强信用定期债券,债券型-混合一级
000006,西部利得量化成长混合A,混合型-偏股
000008,嘉实中证500ETF联接A,指数型-股票
000011,华夏大盘精选混合A,混合型-灵活
000012,华夏大盘精选混合A(后端),混合型-灵活
000014,华夏聚利债券A,债券型-混合一级
000017,财通可持续混合A,混合型-偏股
000020,景顺长城品质投资混合A,混合型-偏股
000021,华夏优势增长混合,混合型-偏股
000024,大摩双利增强债券A,债券型-混合一级
000025,大摩双利增强债券C,债券型-混合一级
000028,华富安鑫债券A,债券型-混合二级
000029,富国宏观策略灵活配置混合A,混合型-灵活
000030,长城核心优选混合A,混合型-灵活
000031,华夏复兴混合A,混合型-偏股
000039,农银高增长混合,混合型-偏股
000041,华夏全球股票(QDII)(人民币),QDII-普通股票
000042,财通中证ESG100指数增强A,指数型-股票
000043,嘉实美国成长股票人民币,QDII-普通股票
000044,嘉实美国成长股票美元现汇,QDII-普通股票
000045,工银产业债债券A,债券型-混合二级
000046,工银产业债债券B,债券型-混合二级
000047,华夏双债债券A,债券型-混合一级
000048,华夏双债债券C,债券型-混合一级
000051,华夏沪深300ETF联接A,指数型-股票
000054,鹏华双债增利债券A,债券型-混合二级
000055,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票
000056,建信消费升级混合,混合型-灵活
000057,中银消费主题混合A,混合型-偏股
000058,国联安安泰灵活配置混合A,混合型-灵活
000059,国联安中证医药100A,指数型-股票
000061,华夏盛世混合,混合型-偏股
000063,长盛电子信息主题混合A,混合型-灵活
000065,国富焦点驱动混合A,混合型-灵活
000066,诺安鸿鑫混合A,混合型-偏股
000067,民生加银转债优选A,债券型-混合二级
000068,民生加银转债优选C,债券型-混合二级
000069,国投瑞银中高等级债券A,债券型-混合一级
000070,国投瑞银中高等级债券C,债券型-混合一级
000071,华夏恒生ETF联接A,指数型-海外股票
000072,华安稳健回报混合A,混合型-灵活
000073,摩根成长动力混合A,混合型-灵活
000075,华夏恒生ETF联接现汇,指数型-海外股票
000076,华夏恒生ETF联接现钞,指数型-海外股票
000080,天治可转债增强债券A,债券型-混合二级
000081,天治可转债增强债券C,债券型-混合二级
000082,嘉实研究阿尔法股票A,股票型
000083,汇添富消费行业混合,混合型-偏股
000104,富国丰泰债券A,债券型-混合一级
000107,富国稳健增强债券A/B,债券型-混合二级
000108,富国稳健增强债券A/B(后端),债券型-混合二级
000109,富国稳健增强债券C,债券型-混合二级
000110,金鹰元安混合A,混合型-偏债
000117,广发轮动配置混合,混合型-偏股
000118,广发聚鑫债券A,债券型-混合二级
000119,广发聚鑫债券C,债券型-混合二级
000120,中银美丽中国混合A,混合型-偏股
000121,华夏永福混合A,混合型-偏债
000122,汇添富实业债债券A,债券型-混合一级
000123,汇添富实业债债券C,债券型-混合一级
000124,华宝服务优选混合,混合型-偏股
000126,招商安润灵活配置混合A,混合型-灵活
000127,农银行业领先混合,混合型-偏股
000130,大成景兴信用债债券A,债券型-混合一级
000131,大成景兴信用债债券C,债券型-混合一级
000136,民生加银策略精选混合A,混合型-灵活
000142,融通增强收益债券A,债券型-混合二级
000143,鹏华双债加利债券A,债券型-混合二级
000149,华安双债添利债券A,债券型-混合一级
000150,华安双债添利债券C,债券型-混合一级
000154,富国沪深300指数增强A(后端),指数型-股票
000155,富国通胀通缩主题轮动混合A(后端),混合型-偏股
000157,富国全球科技互联网股票(QDII)A(后端),QDII-普通股票
000158,富国低碳环保混合(后端),混合型-偏股
000159,富国高新技术产业混合(后端),混合型-偏股
000161,富国宏观策略灵活配置混合A(后端),混合型-灵活
000162,富国中国中小盘混合(QDII)人民币A(后端),QDII-混合偏股
000163,富国全球债券(QDII)人民币A(后端),QDII-混合债
000164,富国上证指数ETF联接A(后端),指数型-股票
000165,国投瑞银策略精选混合,混合型-灵活
000166,中海信息产业混合A,混合型-偏股
000167,广发聚优灵活配置混合A,混合型-灵活
000171,易方达裕丰回报债券A,债券型-混合二级
000172,华泰柏瑞量化增强混合A,混合型-偏股
000173,汇添富美丽30混合A,混合型-偏股
000174,汇添富高息债债券A,债券型-混合一级
000175,汇添富高息债债券C,债券型-混合一级
000176,嘉实沪深300指数研究增强A,指数型-股票
000179,广发美国房地产指数人民币(QDII)A,指数型-海外股票
000180,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票
000181,景顺长城四季金利债券A,债券型-混合二级
000182,景顺长城四季金利债券C,债券型-混合二级
000183,嘉实丰益策略定期债券,债券型-混合一级
000184,工银添福债券A,债券型-混合二级
000185,工银添福债券B,债券型-混合二级
000186,华泰柏瑞季季红债券A,债券型-混合一级
000189,易方达丰华债券A,债券型-混合二级
000190,中银新回报灵活配置混合A,混合型-灵活
000195,工银成长收益混合A,混合型-灵活
000196,工银成长收益混合B,混合型-灵活
000199,国泰量化策略收益混合A,混合型-偏股
000207,建信双债增强债券A,债券型-混合一级
000208,建信双债增强债券C,债券型-混合一级
000209,中信保诚新兴产业混合A,混合型-偏股
000214,广发成长优选混合,混合型-灵活
000215,广发趋势优选灵活配置混合A,混合型-灵活
000219,博时裕益混合A,混合型-灵活
000220,富国医疗保健行业混合A,混合型-偏股
000221,汇添富年年利定期开放债券A,债券型-混合一级
000222,汇添富年年利定期开放债券C,债券型-混合一级
000227,华安年年红债券A,债券型-混合一级
000236,工银月月薪定期支付债券A,债券型-混合二级
000239,华安年年盈定开债A,债券型-混合一级
000240,华安年年盈定开债C,债券型-混合一级
000241,宝盈核心优势混合C,混合型-灵活
000242,景顺长城策略精选灵活配置混合A,混合型-灵活
000244,天弘稳利定期开放A,债券型-混合一级
000245,天弘稳利定期开放B,债券型-混合一级
000248,汇添富中证主要消费ETF联接A,指数型-股票
000251,工银金融地产混合A,混合型-偏股
000254,长城增强收益定开债券A,债券型-混合一级
000255,长城增强收益定开债券C,债券型-混合一级
000259,农银区间收益混合,混合型-灵活
000263,工银信息产业混合A,混合型-偏股
000264,博时内需增长混合A,混合型-灵活
000267,广发集利一年定开债A,债券型-混合一级
000268,广发集利一年定开债C,债券型-混合一级
000270,建信灵活配置混合A,混合型-灵活
000273,华润元大安鑫灵活配置混合A,混合型-灵活
000279,华商红利优选混合,混合型-灵活
000286,银华信用季季红债券A,债券型-混合一级
000289,鹏华丰泰定开债A,债券型-混合一级
000294,华安生态优先混合A,混合型-偏股
000295,鹏华丰实定期开放债券A,债券型-混合一级
000296,鹏华丰实定期开放债券B,债券型-混合一级
000297,鹏华可转债债券A,债券型-混合二级
000306,天弘弘利债券A,债券型-混合二级
000308,建信创新中国混合,混合型-偏股
000309,大摩品质生活精选股票A,股票型
000310,安信永利信用债券A,债券型-混合一级
000311,景顺长城沪深300指数增强A,指数型-股票
000312,华安沪深300增强A,指数型-股票
000313,华安沪深300增强C,指数型-股票
000314,招商瑞丰灵活配置混合发起式A,混合型-灵活
000319,宏利淘利债券A,债券型-混合一级
000320,宏利淘利债券C,债券型-混合一级
000326,南方中小盘成长股票A,股票型
000327,南方潜力新蓝筹混合A,混合型-偏股
000328,摩根转型动力混合A,混合型-灵活
000329,鹏华丰饶定开债,债券型-混合一级
000333,长城稳固收益债券A,债券型-混合二级
000334,长城稳固收益债券C,债券型-混合二级
000335,安信永利信用债券C,债券型-混合一级
000336,农银研究精选混合,混合型-灵活
000338,鹏华双债保利债券B,债券型-混合二级
000339,长城医疗保健混合A,混合型-偏股
000345,鹏华丰融定开债,债券型-混合一级
000351,国富恒丰一年持有期债券A,债券型-混合一级
000352,国富恒丰一年持有期债券C,债券型-混合一级
000354,长盛城镇化主题混合A,混合型-偏股
000355,南方丰元信用增强债券A,债券型-混合一级
000356,南方丰元信用增强债券C,债券型-混合一级
000362,国泰聚信价值优势混合A,混合型-灵活
000363,国泰聚信价值优势混合C,混合型-灵活
000367,国泰安康定期支付混合A,混合型-偏债
000368,汇添富沪深300安中指数A,指数型-股票
000369,广发全球医疗保健指数人民币(QDII)A,指数型-海外股票
000370,广发全球医疗保健美元现汇(QDII)A,指数型-海外股票
000373,华安中证细分医药ETF联接A,指数型-股票
000376,华安中证细分医药ETF联接C,指数型-股票
000377,摩根双债增利债券A,债券型-混合二级
000378,摩根双债增利债券C,债券型-混合二级
000385,景顺长城景颐双利债券A,债券型-混合二级
000386,景顺长城景颐双利债券C,债券型-混合二级
000390,华商优势行业混合A,混合型-灵活
000398,华富灵活配置混合A,混合型-灵活
000404,易方达新兴成长灵活配置,混合型-灵活
000406,汇添富双利增强债券A,债券型-混合二级
000407,汇添富双利增强债券C,债券型-混合二级
000408,民生加银城镇化混合A,混合型-灵活
000409,鹏华环保产业股票,股票型
000410,益民服务领先混合A,混合型-灵活
000411,景顺长城优质成长股票A,股票型
000414,嘉实绝对收益策略定期混合A,混合型-绝对收益
000417,国联安新精选混合A,混合型-灵活
000418,景顺长城成长之星股票A,股票型
000423,前海开源事件驱动混合A,混合型-灵活
000431,鹏华品牌传承混合,混合型-灵活
000432,中银优秀企业混合A,混合型-偏股
000433,安信鑫发优选混合A,混合型-灵活
000436,易方达裕惠定开混合A,混合型-偏债
000452,南方医药保健灵活配置混合A,混合型-灵活
000457,摩根核心成长股票A,股票型
000458,英大领先回报A,混合型-灵活
000459,英大领先回报B,混合型-灵活
000462,农银主题轮动混合A,混合型-灵活
000471,富国城镇发展股票,股票型
000472,富国城镇发展股票(后端),股票型
000477,广发主题领先混合A,混合型-灵活
000478,建信中证500指数增强A,指数型-股票
000480,东方红新动力混合A,混合型-灵活
000496,长安产业精选混合A,混合型-灵活
000507,宏利宏达混合A,混合型-偏债
000508,宏利宏达混合B,混合型-偏债
000511,国泰国策驱动灵活配置混合A,混合型-灵活
000512,国泰沪深300指数增强A,指数型-股票
000513,富国高端制造行业股票A,股票型
000514,富国高端制造行业股票A(后端),股票型
000520,上银新兴价值成长混合A,混合型-灵活
000522,华润元大信息传媒科技混合A,混合型-偏股
000523,国投瑞银医疗保健混合A,混合型-灵活
000524,摩根民生需求股票A,股票型
000526,国泰浓益灵活配置混合A,混合型-灵活
000527,南方新优享灵活配置混合A,混合型-灵活
000529,广发竞争优势混合A,混合型-灵活
000530,招商丰盛稳定增长混合A,混合型-灵活
000531,东吴阿尔法灵活配置混合A,混合型-灵活
000532,景顺长城优势企业混合A,混合型-偏股
000534,长盛高端装备混合A,混合型-灵活
000535,长盛航天海工混合A,混合型-灵活
000536,前海开源可转债债券A,债券型-混合二级
000538,诺安优势行业混合A,混合型-灵活
000541,华商创新成长混合发起式A,混合型-灵活
000545,中邮核心竞争力灵活配置混合,混合型-灵活
000546,兴业定开债A,债券型-混合一级
000547,建信健康民生混合A,混合型-偏股
000549,华安大国新经济股票A,股票型
000550,广发新动力混合A,混合型-偏股
000551,中信保诚幸福消费混合A,混合型-偏股
000554,南方中国梦灵活配置混合A,混合型-灵活
000556,国投瑞银新机遇灵活配置混合A,混合型-灵活
000557,国投瑞银新机遇灵活配置混合C,混合型-灵活
000565,富国医疗保健行业混合A(后端),混合型-偏股
000566,华泰柏瑞创新升级混合A,混合型-灵活
000567,广发聚祥灵活混合,混合型-灵活
000572,中银多策略混合A,混合型-灵活
000573,天弘通利混合A,混合型-灵活
000574,宝盈新价值混合A,混合型-灵活
000577,安信价值精选股票A,股票型
000578,鑫元恒鑫收益增强债券型发起式A,债券型-混合二级
000579,鑫元恒鑫收益增强债券型发起式C,债券型-混合二级
000583,江信聚福定开债,债券型-混合一级
000584,新华鑫益灵活配置混合C,混合型-灵活
000585,嘉实对冲套利定期混合A,混合型-绝对收益
000586,景顺长城中小创精选股票A,股票型
000587,大成灵活配置混合A,混合型-灵活
000589,光大银发商机混合A,混合型-偏股
000590,华安新活力灵活配置混合A,混合型-灵活
000591,中银健康生活混合A,混合型-偏股
000592,建信改革红利股票A,股票型
000593,易方达标普消费品指数美元现汇A,指数型-海外股票
000594,大摩进取优选股票,股票型
000595,嘉实泰和混合,混合型-灵活
000596,前海开源中证军工指数A,指数型-股票
000597,中海积极收益混合,混合型-灵活
000598,长盛生态环境混合A,混合型-灵活
000601,华宝创新优选混合,混合型-偏股
000603,易方达创新驱动灵活配置混合,混合型-灵活
000609,华商新量化混合A,混合型-灵活
000612,华宝生态中国混合A,混合型-偏股
000613,国寿安保沪深300ETF联接A,指数型-股票
000614,华安德国(DAX)联接(QDII)A,指数型-海外股票
000619,东方红产业升级混合,混合型-灵活
000628,大成高鑫股票A,股票型
000634,富国天盛灵活配置基金,混合型-灵活
000635,富国天盛灵活配置基金(后端),混合型-灵活
000639,宝盈祥瑞混合A,混合型-偏债
000646,华润元大量化优选混合A,混合型-偏股
000649,长城久鑫混合A,混合型-灵活
000652,博时裕隆灵活配置混合A,混合型-灵活
000654,华商新锐产业混合,混合型-灵活
000656,前海开源沪深300指数A,指数型-股票
000663,国投瑞银美丽中国混合A,混合型-灵活
000667,工银绝对收益混合发起A,混合型-绝对收益
000668,国寿安保尊享债券A,债券型-混合一级
000669,国寿安保尊享债券C,债券型-混合一级
000672,工银绝对收益混合发起B,混合型-绝对收益
000673,融通四季添利债券(LOF)C,债券型-混合一级
000679,招商丰利灵活配置混合A,混合型-灵活
000684,长盛养老健康混合A,混合型-灵活
000688,景顺长城研究精选股票A,股票型
000689,前海开源新经济混合A,混合型-灵活
000690,前海开源大海洋混合,混合型-灵活
000692,汇添富双利债券C,债券型-混合二级
000696,汇添富环保行业股票,股票型
000697,汇添富移动互联股票A,股票型
000698,宝盈科技30混合,混合型-灵活
000706,中邮多策略灵活配置混合,混合型-灵活
000711,嘉实医疗保健股票,股票型
000714,诺安稳健回报混合A,混合型-灵活
000717,融通转型三动力灵活配置混合A,混合型-灵活
000718,融通转型三动力灵活配置混合A(后端),混合型-灵活
000727,融通健康产业灵活配置混合A/B,混合型-灵活
000728,工银目标收益一年定开C,债券型-混合一级
000729,建信中小盘先锋股票A,股票型
000731,融通健康产业灵活配置混合A/B(后端),混合型-灵活
000739,平安新鑫先锋A,混合型-灵活
000742,国泰新经济灵活配置混合A,混合型-灵活
000743,红塔红土盛世普益混合发起式,混合型-灵活
000746,招商行业精选股票基金,股票型
000747,广发逆向策略混合A,混合型-灵活
000751,嘉实新兴产业股票,股票型
000753,华宝量化对冲混合A,混合型-绝对收益
000754,华宝量化对冲混合C,混合型-绝对收益
000755,富安达新兴成长混合A,混合型-灵活
000756,建信潜力新蓝筹股票A,股票型
000757,华富智慧城市灵活配置混合A,混合型-灵活
000761,国富健康优质生活股票,股票型
000762,汇添富绝对收益定开混合A,混合型-绝对收益
000763,工银新财富灵活配置混合,混合型-灵活
000767,华富国泰民安灵活配置混合A,混合型-灵活
000772,景顺长城中国回报混合A,混合型-灵活
000778,鹏华先进制造股票,股票型
000780,鹏华医疗保健股票,股票型
000788,前海开源中国成长混合,混合型-灵活
000793,工银高端制造股票,股票型
000794,宝盈睿丰创新混合A/B,混合型-灵活
000795,宝盈睿丰创新混合A/B(后端),混合型-灵活
000796,宝盈睿丰创新混合C,混合型-灵活
000800,华商未来主题混合,混合型-偏股
000801,中金纯债A,债券型-混合一级
000802,中金纯债C,债券型-混合一级
000803,工银研究精选股票,股票型
000804,中信建投稳利混合A,混合型-偏债
000805,中银新经济灵活配置混合A,混合型-灵活
000810,富国收益增强债券A,债券型-混合二级
000812,富国收益增强债券C,债券型-混合二级
000822,东海美丽中国A,混合型-灵活
000823,银华高端制造业混合A,混合型-灵活
000824,圆信永丰双利A,混合型-灵活
000825,圆信永丰双利C,混合型-灵活
000826,广发百发100指数A,指数型-股票
000827,广发百发100指数E,指数型-股票
000828,宏利转型机遇股票A,股票型
000831,工银医疗保健股票,股票型
000834,大成纳斯达克100ETF联接(QDII)A,指数型-海外股票
000835,华润元大富时中国A50指数A,指数型-股票
000841,富国新回报灵活配置混合A/B,混合型-灵活
000842,富国新回报灵活配置混合A/B(后端),混合型-灵活
000843,富国新回报灵活配置混合C,混合型-灵活
000844,南方绝对收益,混合型-绝对收益
000845,国投瑞银信息消费混合A,混合型-灵活
000849,汇丰晋信双核策略混合A,混合型-灵活
000850,汇丰晋信双核策略混合C,混合型-灵活
000854,鹏华养老产业股票,股票型
000866,华宝制造股票,股票型
000867,华宝品质生活股票,股票型
000870,嘉实新收益混合,混合型-灵活
000875,建信稳定得利债券A,债券型-混合二级
000876,建信稳定得利债券C,债券型-混合二级
000877,华泰柏瑞量化优选混合,混合型-灵活
000878,中海医药健康产业精选混合A,混合型-灵活
000879,中海医药健康产业精选混合C,混合型-灵活
000880,富国研究精选灵活配置混合A,混合型-灵活
000884,民生加银优选股票,股票型
000892,九泰天宝灵活配置混合A,混合型-灵活
000893,工银创新动力股票,股票型
000894,中欧睿达6个月持有混合A,混合型-偏债
000896,鑫元聚鑫收益增强A,债券型-混合二级
000897,鑫元聚鑫收益增强C,债券型-混合二级
000904,银华回报定开混合,混合型-灵活
000906,广发全球精选股票(QDII)美元A,QDII-普通股票
000913,农银医疗保健股票,股票型
000916,前海开源股息率100强股票A,股票型
000924,宝盈先进制造混合A,混合型-灵活
000925,汇添富外延增长股票A,股票型
000926,中信建投睿信灵活配置混合A,混合型-灵活
000927,博时大中华亚太精选美元现汇,QDII-普通股票
000928,国联国企改革混合A,混合型-灵活
000931,国寿安保尊益信用纯债债券,债券型-混合一级
000932,前海开源睿远稳健增利混合A,混合型-偏债
000933,前海开源睿远稳健增利混合C,混合型-偏债
000934,国富大中华精选混合,QDII-混合偏股
000935,浙商汇金转型成长,混合型-灵活
000936,博时产业新动力混合A,混合型-灵活
000939,中银研究精选灵活配置混合A,混合型-灵活
000940,富国中小盘精选混合A,混合型-偏股
000941,富国中小盘精选混合A(后端),混合型-偏股
000942,广发信息技术联接A,指数型-股票
000945,华夏医疗健康混合A,混合型-灵活
000946,华夏医疗健康混合C,混合型-灵活
000948,华夏沪港通恒生ETF联接A,指数型-股票
000950,易方达证券保险ETF联接A,指数型-股票
000955,南方产业活力,股票型
000960,招商医药健康产业股票,股票型
000961,天弘沪深300ETF联接A,指数型-股票
000962,天弘中证500ETF联接A,指数型-股票
000963,兴业多策略混合,混合型-灵活
000965,汇丰晋信新动力混合A,混合型-偏股
000966,中邮核心科技创新灵活配置混合,混合型-灵活
000967,华泰柏瑞创新动力混合,混合型-灵活
000968,广发养老指数A,指数型-股票
000969,前海开源大安全混合,混合型-灵活
000970,东方红睿元混合,混合型-灵活
000971,诺安新经济股票A,股票型
000973,新华增盈回报债券,债券型-混合二级
000974,安信消费医药股票A,股票型
000975,MSCI中国A股国际通联接A,指数型-股票
000976,长城新兴产业混合A,混合型-灵活
000977,长城环保主题混合A,混合型-灵活
000978,景顺长城量化精选股票A,股票型
000979,景顺长城沪港深精选股票A,股票型
000985,嘉实逆向策略股票,股票型
000986,太平灵活配置,混合型-灵活
000988,嘉实全球互联网股票人民币,QDII-普通股票
000989,嘉实全球互联网股票美元现汇,QDII-普通股票
000990,嘉实全球互联网股票美元现钞,QDII-普通股票
000991,工银战略转型股票A,股票型
000992,广发对冲套利定期开放混合,混合型-绝对收益
000993,华宝稳健回报混合,混合型-灵活
000994,建信睿盈灵活配置混合A,混合型-灵活
000995,建信睿盈灵活配置混合C,混合型-灵活
000996,中银新动力股票A,股票型
000997,南方双元A,债券型-混合一级
000998,南方双元C,债券型-混合一级
001000,中欧明睿新起点混合,混合型-偏股
001001,华夏债券A/B,债券型-混合一级
001002,华夏债券A/B(后端),债券型-混合一级
001003,华夏债券C,债券型-混合一级
001004,新华稳健回报灵活配置混合发起,混合型-灵活
001007,国联安鑫安灵活配置混合,混合型-灵活
001008,工银国企改革股票,股票型
001009,摩根安全战略股票A,股票型
001011,华夏希望债券A,债券型-混合二级
001013,华夏希望债券C,债券型-混合二级
001015,华夏沪深300指数增强A,指数型-股票
001016,华夏沪深300指数增强C,指数型-股票
001017,宏利改革动力混合A,混合型-灵活
001018,易方达新经济混合,混合型-灵活
001019,兴业年年利定开债,债券型-混合一级
001027,前海开源中证大农业指数增强A,指数型-股票
001028,华安物联网主题股票A,股票型
001030,天弘云端生活优选混合A,混合型-灵活
001031,华夏安康债券A,债券型-混合二级
001033,华夏安康债券C,债券型-混合二级
001035,中银恒利半年定开债,债券型-混合二级
001036,嘉实企业变革股票,股票型
001037,国投瑞银锐意改革混合A,混合型-灵活
001039,嘉实先进制造股票,股票型
001040,新华策略精选股票A,股票型
001042,华夏领先股票,股票型
001043,工银美丽城镇股票A,股票型
001044,嘉实新消费股票A,股票型
001045,华夏可转债增强债券A,债券型-混合二级
001046,华夏可转债增强债券I,债券型-混合二级
001047,光大国企改革股票A,股票型
001048,富国新兴产业股票A,股票型
001049,富国新兴产业股票A(后端),股票型
001050,汇添富中证500指数增强A,指数型-股票
001051,华夏上证50ETF联接A,指数型-股票
001052,华夏中证500ETF联接A,指数型-股票
001053,南方创新经济,混合型-灵活
001054,工银新金融股票A,股票型
001056,华银健康生活主题灵活配置,混合型-灵活
001060,前海开源高端装备制造混合A,混合型-灵活
001064,广发中证环保ETF联接A,指数型-股票
001067,鹏华弘盛混合A,混合型-灵活
001068,国新国证新锐A,混合型-灵活
001069,华泰柏瑞消费成长混合,混合型-灵活
001070,建信信息产业股票A,股票型
001071,华安媒体互联网混合A,混合型-灵活
001072,华安智能装备主题股票A,股票型
001073,华泰柏瑞量化绝对收益混合,混合型-绝对收益
001074,华泰柏瑞沪深300指数增强A,指数型-股票
001075,宝盈转型动力混合A,混合型-灵活
001076,易方达改革红利混合,混合型-偏股
001086,华富恒利债券A,债券型-混合二级
001087,华富恒利债券C,债券型-混合二级
001088,华宝国策导向混合A,混合型-偏股
001092,广发生物科技指数人民币(QDII)A,指数型-海外股票
001093,广发生物科技指数美元(QDII)A,指数型-海外股票
001097,华泰柏瑞积极优选股票A,股票型
001102,前海开源国家比较优势混合A,混合型-灵活
001103,前海开源工业革命4.0混合,混合型-灵活
001104,华安新丝路主题股票A,股票型
001105,信澳转型创新股票A,股票型
001106,华商健康生活混合,混合型-灵活
001110,中欧瑾泉灵活配置混合A,混合型-灵活
001111,中欧瑾泉灵活配置混合C,混合型-灵活
001112,东方红中国优势混合,混合型-灵活
001113,南方大数据100A,指数型-股票
001115,广发聚安混合A,混合型-偏债
001116,广发聚安混合C,混合型-偏债
001117,中欧精选定期开放混合A,混合型-灵活
001118,华宝事件驱动混合A,混合型-偏股
001120,东方睿鑫热点挖掘混合A,混合型-灵活
001121,东方睿鑫热点挖掘混合C,混合型-灵活
001122,鹏华弘利混合A,混合型-灵活
001123,鹏华弘利混合C,混合型-灵活
001124,融通增强收益债券C,债券型-混合二级
001125,博时互联网主题灵活配置混合,混合型-灵活
001126,摩根卓越制造股票A,股票型
001127,中银宏观策略混合A,混合型-灵活
001128,宝盈新兴产业混合A,混合型-灵活
001133,广发中证全指可选消费联接A,指数型-股票
001135,益民品质升级混合A,混合型-灵活
001136,易方达裕如灵活配置混合A,混合型-灵活
001139,华安新动力灵活配置混合A,混合型-灵活
001140,工银总回报灵活配置混合A,混合型-灵活
001143,华商量化进取混合,混合型-灵活
001144,大成互联网思维混合A,混合型-灵活
001146,中欧瑾源灵活配置混合A,混合型-灵活
001147,中欧瑾源灵活配置混合C,混合型-灵活
001148,申万菱信多策略灵活配置混合A,混合型-灵活
001149,汇丰晋信恒生龙头指数C,指数型-股票
001150,融通互联网传媒灵活配置混合A,混合型-灵活
001151,融通互联网传媒灵活配置混合A(后端),混合型-灵活
001152,融通新区域新经济灵活配置混合,混合型-灵活
001153,融通新区域新经济灵活配置混合(后端),混合型-灵活
001154,华银平安中国主题灵活配置,混合型-灵活
001156,申万菱信新能源汽车主题灵活配置混合A,混合型-灵活
001157,国联安睿祺灵活配置混合,混合型-灵活
001158,工银新材料新能源股票,股票型
001162,前海开源优势蓝筹股票A,股票型
001163,银华中国梦30股票,股票型
001164,中欧琪和灵活配置混合A,混合型-灵活
001165,中欧琪和灵活配置混合C,混合型-灵活
001166,建信环保产业股票A,股票型
001167,金鹰科技创新股票A,股票型
001170,宏利复兴混合A,混合型-灵活
001171,工银养老产业股票A,股票型
001172,鹏华弘泽混合A,混合型-灵活
001173,中欧瑾和灵活配置混合A,混合型-灵活
001174,中欧瑾和灵活配置混合C,混合型-灵活
001178,前海开源再融资股票,股票型
001179,德邦大健康灵活配置混合A,混合型-灵活
001180,广发医药卫生联接A,指数型-股票
001181,南方改革机遇,混合型-灵活
001182,易方达安心回馈混合A,混合型-偏债
001183,南方利淘A,混合型-灵活
001184,易方达新常态混合A,混合型-灵活
001186,富国文体健康股票A,股票型
001187,富国文体健康股票A(后端),股票型
001188,鹏华改革红利股票,股票型
001189,广发聚宝混合A,混合型-偏债
001190,鹏华弘润混合A,混合型-灵活
001191,鹏华弘润混合C,混合型-灵活
001192,摩根整合驱动混合A,混合型-灵活
001193,中金消费升级股票A,股票型
001194,景顺长城稳健回报混合A,混合型-灵活
001195,工银农业产业股票,股票型
001197,长盛转型升级主题灵活配置混合,混合型-灵活
001198,东方惠新灵活配置混合A,混合型-灵活
001199,创金合信聚利债券A,债券型-混合二级
001200,创金合信聚利债券C,债券型-混合二级
001202,东方红领先精选混合A,混合型-灵活
001203,东方红稳健精选混合A,混合型-偏债
001204,东方红稳健精选混合C,混合型-偏债
001208,诺安低碳经济股票A,股票型
001209,前海开源一带一路混合A,混合型-灵活
001210,天弘互联网混合A,混合型-灵活
001214,华泰柏瑞中证500ETF联接A,指数型-股票
001215,博时沪港深优质企业基金A,混合型-灵活
001216,易方达新收益混合A,混合型-灵活
001217,易方达新收益混合C,混合型-灵活
001218,国投瑞银精选收益混合A,混合型-灵活
001219,摩根动态多因子混合A,混合型-灵活
001220,民生加银研究精选混合,混合型-灵活
001222,鹏华外延成长混合,混合型-灵活
001223,鹏华文化传媒娱乐股票,股票型
001224,中邮新思路灵活配置混合A,混合型-灵活
001225,中邮趋势精选灵活配置混合A,混合型-灵活
001226,中邮稳健添利灵活配置混合,混合型-灵活
001227,中邮信息产业灵活配置混合A,混合型-灵活
001228,国联安鑫享灵活配置混合A,混合型-灵活
001229,德邦福鑫灵活配置混合A,混合型-灵活
001230,鹏华医药科技股票A,股票型
001231,银华泰利灵活配置混合A,混合型-灵活
001235,中银国有企业债A,债券型-混合一级
001236,博时丝路主题股票A,股票型
001237,博时上证50ETF联接A,指数型-股票
001239,长盛国企改革混合,混合型-灵活
001241,国寿安保中证500ETF联接,指数型-股票
001242,博时中证淘金大数据100A,指数型-股票
001243,博时中证淘金大数据100I,指数型-股票
001244,华泰柏瑞量化智慧混合A,混合型-灵活
001245,工银生态环境股票A,股票型
001247,华泰柏瑞新利混合A,混合型-灵活
001249,易方达新利灵活配置混合,混合型-灵活
001250,天弘新活力混合发起A,混合型-灵活
001252,中海进取收益混合,混合型-灵活
001254,宏利新起点混合A,混合型-灵活
001255,长城改革红利混合A,混合型-灵活
001256,泓德优选成长混合,混合型-偏股
001257,兴业收益增强债券A,债券型-混合二级
001258,兴业收益增强债券C,债券型-混合二级
001261,国联新机遇混合A,混合型-灵活
001265,国泰兴益灵活配置混合A,混合型-灵活
001266,国投瑞银招财混合A,混合型-灵活
001267,宏利蓝筹混合,混合型-偏股
001268,富国国家安全主题混合A,混合型-偏股
001269,富国国家安全主题混合A(后端),混合型-偏股
001270,英大灵活配置混合型发起式A,混合型-灵活
001271,英大灵活配置混合型发起式B,混合型-灵活
001272,兴业聚利灵活配置混合A,混合型-灵活
001275,中邮创新优势灵活配置混合,混合型-灵活
001276,建信新经济灵活配置混合,混合型-灵活
001277,博时国企改革股票A,股票型
001278,前海开源清洁能源混合A,混合型-灵活
001279,中海积极增利混合,混合型-灵活
001280,银华聚利灵活配置混合A,混合型-灵活
