o1,h1,c1,c2
0.48019207683072107,1.6806722689075793,0.8403361344537785,2.0408163265306145
0.48367593712213,3.5066505441354368,1.45102781136639,0.7255139056832061
0.4514672686230403,2.708803611738153,0.22573363431153126,-1.0158013544018019
1.0135135135135087,1.0135135135135087,-1.2387387387387538,-4.3918918918918965
-0.4405286343612258,-0.1468428781204123,-3.2305433186490373,-3.6710719530102742
0.0,0.0,-5.6526207605344325,-1.7471736896197299
-0.35868005738880493,-0.35868005738880493,-6.169296987087513,-6.958393113342886
0.0,0.9353078721745955,0.623538581449723,3.1956352299298496
0.5354752342704217,8.36680053547525,5.35475234270415,4.484605087014715
0.2562459961563235,4.420243433696358,3.715566944266513,4.74055092889174
0.0,0.7662835249041988,-1.2132822477650018,-3.3205619412515985
-0.3353454057679506,-0.06706908115358123,-0.4024144869215318,0.4024144869215318
0.10131712259373593,1.6210739614994862,0.3039513677811634,4.154002026342463
-0.462962962962965,0.0,-1.4814814814814836,3.9814814814814747
-0.8920606601249048,1.2488849241748312,0.802854594112401,-0.6244424620874267
-0.26595744680850686,0.35460992907803135,-0.5319148936170137,2.3049645390070816
-0.4048582995951344,6.31578947368423,2.9149797570850344,2.1862348178137703
-1.1732229123533444,2.346445824706689,1.6563146997929712,1.3802622498274575
0.2583979328165231,0.2583979328165231,-2.1963824289405687,-1.6149870801033583
-0.3157894736842026,-0.21052631578947212,-0.526315789473697,0.3157894736842026
-1.5075376884421954,-1.5075376884421954,-6.23115577889447,-5.5276381909547645
-0.6561679790026198,1.5748031496062964,0.5249343832020914,-2.3622047244094446
-1.5075376884422176,6.5326633165829096,3.643216080402012,5.025125628140703
-2.1101992966002348,0.23446658851116187,-1.992966002344665,-3.86869871043376
0.49999999999998934,3.499999999999992,2.2499999999999964,2.0000000000000018
0.0,0.8908685968819663,-3.340757238307357,-4.899777282850792
-3.720238095238093,2.976190476190488,-1.7857142857142905,-6.696428571428569
0.0,2.9962546816479474,0.5617977528090012,-2.2471910112359605
-0.42918454935623185,0.42918454935620964,-3.862660944205998,-2.5751072961373467
-1.2165450121654708,-0.48661800486619056,-3.4063260340632673,-4.1362530413625365
-1.121794871794879,4.9679487179487225,1.2820512820512775,11.378205128205131
-1.1644832605531286,0.0,-1.8922852983988325,-6.841339155749637
1.3513513513513375,4.279279279279269,0.0,3.040540540540526
-1.5714285714285792,0.5714285714285783,-0.7142857142857117,-1.7142857142857126
0.13531799729364913,1.2178619756427755,-0.9472259810554773,4.465493910690133
-0.6299212598425252,-0.6299212598425252,-4.094488188976375,-2.8346456692913358
-0.7923930269413626,2.377179080824088,0.31695721077655836,-0.9508716323296307
9.869375907111767,9.869375907111767,9.869375907111767,20.899854862119028
3.790849673202623,5.490196078431375,-0.9150326797385699,-1.176470588235301
-1.4138817480719879,0.8997429305912519,0.5141388174807249,4.755784061696655
0.0,0.2512562814070307,-2.1356783919597944,-4.899497487437177
-0.12077294685990392,0.24154589371983004,-4.468599033816412,-7.971014492753614
-3.4615384615384603,-1.538461538461544,-1.7948717948717885,-2.9487179487179382
-1.1354420113544261,1.6220600162205834,0.5677210056772131,-0.8110300081102917
-0.8600469116497256,3.4401876465989245,1.094605160281481,-2.2673964034401806
-0.6807866868381196,1.8154311649016597,0.7564296520423675,-0.9077155824508409
0.0,1.0373443983402453,0.5532503457814641,-0.06915629322269412
0.5698005698005826,0.6647673314339908,-2.9439696106362656,-2.6590693257359854
-0.37002775208141436,4.070305272895469,2.6827012025901764,3.237742830712298
-1.9619157530294307,1.557991921523394,-1.9619157530294307,2.4235429890363536
-1.5796703296703352,3.777472527472514,1.0302197802197766,-0.06868131868131844
-0.5862646566164198,1.5912897822445649,0.3350083752093891,-0.5025125628140614
-0.5657708628005631,1.6973125884016893,0.9193776520509234,1.1315417256011262
0.2321532211259303,0.5803830528148479,-1.2188044109112117,0.05803830528148257
-1.288167938931295,0.33396946564885344,-3.482824427480913,-5.486641221374056
-1.291512915129156,0.3690036900369176,-1.1070110701106972,-1.291512915129156
0.0,1.8561484918793614,-0.9280742459396807,1.1600928074246175
-0.41928721174003813,0.0,-2.3060796645702153,1.2578616352201255
-0.819672131147553,0.8196721311475308,0.0,-1.3661202185792476
0.6666666666666599,2.6666666666666616,-0.33333333333332993,-3.6666666666666625
-0.6688963210702337,-0.33444816053512794,-3.3444816053511683,-3.0100334448160626
0.4166666666666874,2.9166666666666785,2.5000000000000133,4.583333333333339
0.9933774834437026,8.609271523178808,1.9867549668874274,3.64238410596025
2.160493827160481,4.012345679012341,2.160493827160481,0.0
-0.28985507246377384,1.4492753623188248,-9.565217391304348,-8.695652173913048
0.0,1.5094339622641506,0.37735849056603765,1.8867924528301883
-1.3114754098360715,-1.3114754098360715,-6.5573770491803245,-4.2622950819672045
-0.36343304445066726,0.6709533128319567,-0.8946044171093126,2.1246854906346035
0.5505092210294604,1.4037985136251097,1.0459675199559593,-0.9633911368015502
0.5161290322580614,1.625806451612899,0.2838709677419393,-0.954838709677408
0.15358361774744367,1.1262798634812166,0.5802047781569897,0.7508532423208258
0.38004750593825243,5.0356294536817,4.101346001583517,2.1060965954077693
0.0,1.666666666666683,0.0,2.539682539682553
-1.5496125968507801,-1.199700074981247,-2.799300174956254,4.548862784303931
-0.9850275807722575,0.19700551615444706,-3.053585500394007,-2.8762805358550025
-0.6127693220003949,2.3917770310337927,-0.6325360743229869,-2.885945839098636
1.0272121102901322,2.4508920526221,0.09010632546404551,-3.135700126148855
2.602230483271395,3.4572490706319625,1.8959107806691522,-2.695167286245348
-0.029334115576429287,-0.029334115576429287,-0.6453505426811557,0.7920211205632022
-3.65296803652968,-3.1963470319634646,-5.936073059360725,-7.305936073059371
-0.4761904761904856,0.952380952380949,0.4761904761904745,-0.4761904761904856
0.0,7.692307692307687,4.029304029304015,5.128205128205132
0.0,2.285714285714291,1.7142857142857126,3.4285714285714253
-0.8547008547008517,6.8376068376068355,5.128205128205132,7.692307692307709
4.285714285714293,10.000000000000009,6.428571428571428,9.285714285714297
3.398058252427183,7.7669902912621325,-6.796116504854377,-11.165048543689316
-1.6853932584269704,9.550561797752799,6.17977528089888,2.8089887640449396
0.0,7.392996108949412,-2.3346303501945553,-6.225680933852129
1.5197568389057725,6.990881458966558,3.039513677811545,13.373860182370812
-1.4184397163120588,8.15602836879432,6.737588652482263,4.255319148936176
-0.34965034965034336,1.0489510489510634,-0.34965034965034336,1.7482517482517501
0.3278688524590345,4.590163934426239,0.9836065573770592,0.3278688524590345
0.0,0.9852216748768461,-0.9852216748768461,-1.970443349753681
-2.0576131687242927,9.876543209876543,7.818930041152261,8.230452674897105
