date,nav_base,nav50_base,raw_base,nav_l02,nav50_l02,raw_l02,nav_l03,nav50_l03,raw_l03
2026-09-16,1.0,1.0,2.6612,1.0,1.0,2.8562,1.0,1.0,2.9364
2026-09-17,1.000632,1.000597,2.5598,0.99985,0.999827,2.6671,0.999841,0.999818,2.697
2026-09-18,1.015531,1.015674,2.6075,1.018543,1.018703,2.7086,1.018833,1.019006,2.7096
2026-09-21,1.029619,1.029252,2.6253,1.032501,1.032787,2.7849,1.032139,1.032527,2.7947
2026-09-22,1.049902,1.048758,2.6965,1.068972,1.069123,2.7513,1.069538,1.069818,2.8537
2026-09-23,1.049263,1.04913,2.6545,1.068772,1.06919,2.7593,1.069251,1.068792,2.7804
