code,date,close,rsi
002017,2021-01-04,6.673948196433531,34.67492260061917
002761,2021-01-11,7.60398454001206,32.82828282828277
603007,2021-01-15,4.1414866915479065,23.021582733812963
605255,2021-01-15,13.011774561826677,31.818181818181884
605500,2021-01-15,8.368280364526305,32.72138228941684
000030,2021-01-22,5.265723193716343,33.495145631067984
002907,2021-01-22,11.453066203617844,32.21343873517786
000030,2021-01-25,5.234839186715074,33.49514563106797
002024,2021-02-02,6.99,33.7579617834395
600529,2021-02-05,35.089233719712524,29.296874999999986
002550,2021-02-09,3.1440349017573115,30.973451327433608
600121,2021-02-09,5.36,28.40095465393796
600316,2021-02-09,42.22510830572421,31.339712918660283
002550,2021-02-10,3.187702053170608,33.333333333333385
600198,2021-02-10,5.3,17.049180327868854
603179,2021-03-03,15.562990410805126,34.5956354300385
600989,2021-03-11,13.564744625442318,33.72943327239487
600531,2021-03-15,5.434017695251828,33.94833948339485
002893,2021-04-27,9.087785535308187,28.67513611615246
603416,2021-04-27,62.49350610329468,34.359925788497236
603324,2021-05-07,27.64848198641228,32.37169754023684
000868,2021-05-17,4.1,30.603448275862064
600918,2021-05-18,10.64833109568233,29.122055674518208
603218,2021-05-20,22.532200975011055,21.376571806750476
603218,2021-05-21,22.188936975782376,22.19931271477664
000923,2021-06-01,21.055214402487906,32.977588046958374
601689,2021-07-08,22.64942476345764,34.67362924281987
603882,2021-07-20,122.93760941076732,26.909722222222257
600732,2021-07-30,8.779693119426375,33.720930232558146
603351,2021-07-30,17.01880627554101,34.34782608695647
603836,2021-07-30,11.952510006680214,23.8568588469185
002833,2021-08-02,18.5544324496022,31.6840277777778
002816,2021-08-09,17.98,28.193832599118963
603259,2021-08-24,120.02388015877445,25.815921257123193
600298,2021-09-01,39.80536748050896,30.06939090208175
002900,2021-09-06,19.95522077802486,30.21664766248574
002163,2021-10-08,14.17,21.235521235521233
002674,2021-10-08,10.229144848520058,27.352941176470594
000422,2021-10-12,19.629758297263653,34.51374207188161
000837,2021-10-14,11.30857942577919,32.60530421216846
000933,2021-10-14,8.91616044246044,15.327564894931982
002006,2021-10-14,16.66305295235294,27.459016393442596
002080,2021-10-14,28.47275816426696,29.55575702629193
002114,2021-10-14,8.72,28.199566160520604
002171,2021-10-14,9.361943899039288,16.348195329086963
002455,2021-10-14,15.95890273290624,30.65187239944524
002610,2021-10-14,4.39,27.639751552795005
002617,2021-10-14,13.22,30.016051364365993
600869,2021-10-14,5.613944277175458,32.38434163701068
600961,2021-10-14,9.78,27.579365079365047
000531,2021-10-27,6.149673027149727,34.75609756097562
002558,2021-10-29,9.18369114703857,32.8413284132842
600539,2021-10-29,6.48,31.46853146853151
600289,2021-11-01,3.4,34.88372093023253
