di,date,code,rank,comp,g1430_ok,budget_eq,g1430,pull,p1430,p1445,prev_close,note,limit,has_minute,V1_强,V2_不弱,V3_反向,V4_排带,j,fwd20
150,2021-08-16,002394,1,1.139098909777326,1,8500.0,0.0039893642486139,0.0,7.55,7.55,7.519999980926514,,0.1,1,0,1,0,1,907,0.06672089422910761
150,2021-08-16,600665,2,1.0874847396280978,1,8500.0,0.0036629966507866,0.0036496350364962,2.74,2.75,2.7300000190734863,,0.1,1,0,1,0,1,1999,0.18155019944773426
150,2021-08-16,600697,3,1.0056631123636075,1,8500.0,0.0032283822089482,0.0,12.43,12.43,12.390000343322754,,0.1,1,0,1,0,1,2024,0.02295232807745313
150,2021-08-16,000514,4,0.9982040806224846,1,8500.0,0.0064102933251659,-0.0031847133757962,3.14,3.13,3.119999885559082,,0.1,1,0,0,1,1,98,0.0696688331794449
150,2021-08-16,600716,5,0.9960900990309872,1,8500.0,-2.1951582218626697e-08,0.0,3.91,3.91,3.910000085830689,,0.1,1,0,1,0,1,2039,0.04687563851096595
150,2021-08-16,000965,6,0.9786008645030916,1,8500.0,0.0128205499705491,-0.0042194092827004,2.37,2.36,2.3399999141693115,,0.1,1,0,0,1,0,390,0.07508010936704308
150,2021-08-16,600382,7,0.9782807020190052,1,8500.0,0.0265252041324706,0.0,3.87,3.87,3.7699999809265137,,0.1,1,0,1,0,0,1787,-0.004253630074050486
150,2021-08-16,600658,8,0.9745733446506284,1,8500.0,-0.0052909977622083,0.002659574468085,3.76,3.77,3.7799999713897705,,0.1,1,0,1,0,1,1993,0.2903867585021607
150,2021-08-16,600051,9,0.9709923743847458,1,8500.0,-0.0015600386349691,0.0015624999999999,6.4,6.41,6.409999847412109,,0.1,1,0,1,0,1,1533,0.06326638448642592
150,2021-08-16,600356,10,0.9677038349338282,1,8500.0,-0.0085959912477837,0.0014450867052022,6.92,6.93,6.980000019073486,,0.1,1,0,1,0,1,1764,0.07394302961799999
150,2021-08-16,002133,11,0.9656719441699456,1,8500.0,0.0069686812677423,0.0,2.89,2.89,2.869999885559082,,0.1,1,0,1,0,1,658,0.14822224876255624
150,2021-08-16,002718,12,0.9640425734419076,1,8500.0,0.0046802111235624,-0.0023291925465839,12.88,12.85,12.81999969482422,,0.1,1,0,0,1,1,1203,0.028631021260220168
150,2021-08-16,600287,13,0.9632422748431728,1,8500.0,0.0020575856400983,-0.002053388090349,4.87,4.86,4.860000133514404,,0.1,1,0,0,1,1,1713,-0.06391090167707729
150,2021-08-16,600683,14,0.9629923835811334,1,8500.0,0.0116617878904634,0.0028818443804032,3.47,3.48,3.430000066757202,,0.1,1,0,1,0,0,2012,1.0063042794226222
150,2021-08-16,600622,15,0.9615066035480015,1,8500.0,0.0036764600310978,0.0,2.73,2.73,2.720000028610229,,0.1,1,0,1,0,1,1966,0.07838764145275674
150,2021-08-16,000419,16,0.9573740579355944,1,8500.0,0.0047732559681177,0.004750593824228,4.21,4.23,4.190000057220459,,0.1,1,0,1,0,1,77,0.06730433603050819
150,2021-08-16,601107,17,0.9514554953911616,1,8500.0,0.0065789599993224,-0.0032679738562092,3.06,3.05,3.039999961853028,,0.1,1,0,0,1,1,2293,0.1466028062809444
150,2021-08-16,000619,18,0.9506351339344478,1,8500.0,-0.0078124778228806,0.0019685039370078,5.08,5.09,5.119999885559082,,0.1,1,0,1,0,1,173,0.043509769072174256
150,2021-08-16,603709,19,0.9474733708812416,1,8500.0,0.0077798278067018,0.0005938242280285,16.84,16.85,16.709999084472656,,0.1,1,0,1,0,1,2941,-0.004092658874480671
150,2021-08-16,000779,20,0.9404021441189792,1,8500.0,-4.435694300752857e-08,-0.0034883720930232,8.6,8.57,8.600000381469727,,0.1,1,0,0,1,1,270,0.03324000786925414
170,2021-09-13,600615,1,1.1186763945419338,1,8500.0,-0.0060150518486904,0.0015128593040847,6.61,6.62,6.650000095367432,,0.1,1,0,1,0,1,1959,0.1539545177112927
170,2021-09-13,600593,2,1.0628578842201195,1,8500.0,-0.0297667173042397,0.0,12.06,12.06,12.43000030517578,,0.1,1,0,1,0,1,1939,-0.04378479683658014
170,2021-09-13,600382,3,1.0572167850533365,1,8500.0,0.0051679883804516,-0.0025706940874036,3.89,3.88,3.869999885559082,,0.1,1,0,0,1,1,1787,0.14677340350672569
170,2021-09-13,603863,4,1.0260505209328226,1,8500.0,-0.0025125675943624,0.0012594458438286,7.94,7.95,7.960000038146973,,0.1,1,0,1,0,1,3013,-0.03525000715255737
170,2021-09-13,002995,5,0.982989514785775,1,8500.0,0.0052910400745063,0.0003759398496239,26.6,26.61,26.459999084472656,,0.1,1,0,1,0,1,1452,-0.10994558853987028
170,2021-09-13,603385,6,0.980725635313603,1,8500.0,0.0122358433462066,0.001098901098901,9.1,9.11,8.989999771118164,,0.1,1,0,1,0,0,2791,-0.09038629203787034
170,2021-09-13,603221,7,0.9531699959447724,1,8500.0,0.0010449640015337,-0.0010438413361169,9.58,9.57,9.56999969482422,,0.1,1,0,1,0,1,2668,-0.07816665299391694
170,2021-09-13,003007,8,0.9513655507421452,1,8500.0,-0.0062500215389508,-0.0022870211549456,17.49,17.45,17.600000381469727,,0.1,1,0,0,1,1,1464,-0.06699127900630879
170,2021-09-13,605177,9,0.9495752912914605,1,8500.0,-0.0043232356549239,-0.0006680026720107,29.94,29.92,30.06999969482422,,0.1,1,0,1,0,1,3146,-0.11021840313896585
170,2021-09-13,002992,10,0.94925707462557,1,8500.0,-0.0109066172775621,0.0006891798759476,14.51,14.52,14.670000076293944,,0.1,1,0,1,0,1,1450,-0.06160292090092838
170,2021-09-13,603709,11,0.9490386732627883,1,8500.0,0.0143627126676719,-0.0011799410029498,16.95,16.93,16.709999084472656,,0.1,1,0,1,0,0,2941,-0.07399997078203628
170,2021-09-13,603096,12,0.9479556293760644,1,8500.0,0.0117087477931667,0.0,27.65,27.65,27.32999992370605,,0.1,1,0,1,0,0,2564,-0.010616587530792133
170,2021-09-13,603661,13,0.9477357423442144,1,8500.0,0.0108042846971203,-0.0040380047505939,42.1,41.93,41.650001525878906,,0.1,1,0,0,1,0,2908,-0.1447850497582413
170,2021-09-13,000608,14,0.9330900157272466,1,8500.0,0.0061349722684818,-0.0030487804878047,3.28,3.27,3.259999990463257,,0.1,1,0,0,1,1,167,-0.09964588608374651
170,2021-09-13,603038,15,0.9325889680450712,1,8500.0,0.00527705497316,-0.0026246719160104,11.43,11.4,11.369999885559082,,0.1,1,0,0,1,1,2514,0.21864009541867585
170,2021-09-13,002989,16,0.9320720636711788,1,8500.0,0.013501782573545,-0.0017189514396217,23.27,23.23,22.959999084472656,,0.1,1,0,1,0,0,1447,-0.09882873085848014
170,2021-09-13,600697,17,0.92925712301365,1,8500.0,0.0102767103075083,-0.0023474178403755,12.78,12.75,12.649999618530272,,0.1,1,0,0,1,0,2024,-0.06530018039185341
