code,date,regime,fwd20,g,pull,sealed
600529,2021-02-05,weak,-0.0135512820512818,0.06417994992555798,-0.004381443298968946,False
600121,2021-02-09,weak,0.2551666666666668,0.026694069300988055,0.07200000000000006,True
600316,2021-02-09,weak,-0.2264184149184149,0.09994831243000157,0.0,False
600198,2021-02-10,bull,0.17015137614678905,0.06759438886874425,-0.009310986964618184,False
002893,2021-04-27,weak,0.2521072572038419,0.09976519912763426,0.0,False
000868,2021-05-17,bull,-0.009078692493946706,0.009756121048255517,-0.007246376811594013,False
600918,2021-05-18,bull,-0.09475791855203634,-0.0009009352365808576,0.0054102795311090635,False
603218,2021-05-20,weak,0.11049999999999989,0.09583152120189675,0.003529411764705781,False
603218,2021-05-21,weak,0.12275196850393695,-0.016406264656688818,0.002382843526608447,False
603882,2021-07-20,weak,-0.10855035971223019,0.08202460957334212,-0.005820219874972832,False
600732,2021-07-30,bear,0.01999606299212615,0.06776713775912224,0.011391375101708734,False
603836,2021-07-30,bear,0.03961821086261981,0.04905236564914128,-0.0005313496280553442,False
002833,2021-08-02,bear,0.15677672172016194,0.0658328141699307,-0.0021618282890673024,False
603259,2021-08-24,bear,0.1390779683074333,0.06065007069758033,-0.003725952399056931,False
600298,2021-09-01,bear,0.157315943728019,0.07237335481064067,0.0027926460321154867,False
002900,2021-09-06,bear,0.2751028708133974,0.06710068766749577,0.00046926325668716906,False
002163,2021-10-08,bear,-0.025288098693759076,0.06917291699785344,-0.0014064697609001975,False
002674,2021-10-08,bear,-0.0962457627118644,0.058191577373893466,-0.005922165820642977,False
000422,2021-10-12,bear,0.3355297029702973,0.0743066114230917,-0.016074037993180745,False
000837,2021-10-14,bear,0.0030322434150774173,0.09961313657759674,0.0,False
000933,2021-10-14,bear,-0.226621512151215,0.06800770576186488,-0.007174887892376636,False
002006,2021-10-14,bear,0.18407625145518042,0.06962418297197126,0.0005760368663594306,False
002080,2021-10-14,bear,0.01612951334379893,0.05791380867717488,-0.0034214618973561484,False
002114,2021-10-14,bear,-0.09173952095808384,0.09962171358922811,0.0,False
002171,2021-10-14,bear,0.1144765625,0.029804776095294416,0.017964071856287456,False
002455,2021-10-14,bear,0.08068950064020493,0.10006761608953685,0.0,True
002617,2021-10-14,bear,0.3978023255813952,0.059390044910712314,-0.0007575757575757347,False
600869,2021-10-14,bear,0.0486769911504424,0.06864566654537829,-0.00694444444444442,False
600961,2021-10-14,bear,-0.13858333333333323,0.10011244345403436,0.0,True
000531,2021-10-27,bear,-0.022749999999999982,0.011508929202427742,0.005056890012642201,False
002558,2021-10-29,bear,0.017763370332996752,0.05650318540435029,0.0010090817356205317,False
605162,2021-11-01,bear,0.023838345864661447,0.05928856949300565,0.00746268656716409,False
605169,2021-11-01,bear,0.07988840070298793,0.0646578578212309,0.0,False
600238,2021-11-04,bear,0.039881215469613165,0.1003057847257891,0.0,True
600165,2021-11-09,bear,-0.08680454042081946,0.09079447506270899,0.008092485549132888,False
601865,2021-11-17,bear,0.05113269639065805,0.052422051836345185,-0.0023118957545187335,False
600057,2021-12-09,bear,0.10622151898734174,0.016624018604209923,0.0037735849056603765,False
003008,2021-12-16,bear,0.004336357637743381,0.0016699888126423534,-0.0016672224074690822,False
000422,2021-12-28,bear,-0.18242429168601942,0.06112465478856399,-0.003225806451612967,False
002460,2021-12-28,bear,-0.02738652482269548,0.0508232897702785,0.006868426701008623,False
003008,2022-01-12,bear,-0.12334625078764953,0.042940801519525396,0.0024953212726137597,False
002141,2022-01-24,bear,0.01924141048824597,0.0491493459398622,0.0018018018018017834,False
003037,2022-02-07,bear,-0.02709633027522922,0.07547173070585167,-0.005540166204986208,False
002605,2022-02-09,bear,-0.2516606425702808,0.08026319404278115,0.0,False
000887,2022-02-15,bear,-0.2442365728900257,0.07611111111111124,-0.0015487867836861957,False
002036,2022-02-15,bear,-0.23753106588109257,0.06101109653600645,0.003285870755750153,False
002349,2022-02-15,bear,0.02748916967509014,0.1003210239186263,0.0,True
002870,2022-02-15,bear,-0.08271212121212128,0.1000000272478383,0.0,True
002177,2022-02-17,bear,-0.06686912751677858,-0.031595564947330956,0.0,False
002177,2022-02-18,bear,-0.04750654664484459,0.003278704209854544,0.0,False
603899,2022-03-09,bear,-0.1483065967016492,0.08083278599424482,0.00963172804532575,False
605555,2022-03-17,bear,0.016698074277853813,0.05360374346002561,-0.00618769336541769,False
002637,2022-03-18,bear,-0.039104166666666426,0.09613197290262976,-0.0005189413596262682,False
603239,2022-03-23,bear,-0.14303846153846173,-1.7592761913931554e-08,-0.003843197540353449,False
603239,2022-03-24,bear,-0.22754938271604946,-0.006901837585606807,-0.0023166023166022454,False
002935,2022-04-08,bear,-0.22670236920039483,0.06517165468837494,-0.007565789473684137,False
000815,2022-04-15,bear,-0.06059983633387904,0.10016833957034721,0.0,True
603197,2022-04-15,bear,0.0296111111111111,0.0651786198015949,-0.010896898575020963,False
603305,2022-04-15,bear,0.21595826187050388,0.05557645084021834,-0.001778726431874822,False
603348,2022-04-15,bear,0.4406398235870635,0.05072709910911266,0.00997747022851625,False
603997,2022-04-15,bear,0.08771671018276768,0.042699691645314175,0.010568031704095038,False
002132,2022-04-19,bear,0.17260041841004164,0.043572950057386706,0.008350730688935215,False
002549,2022-04-19,bear,0.03713013698630137,0.05434781151442869,0.0034364261168384758,False
603209,2022-04-25,bear,0.10802380952380959,-0.10011599363017831,0.0,False
002980,2022-04-26,bear,-0.011101434834595404,0.012269972095302784,0.0,False
000789,2022-04-27,bear,0.0009003542958370796,0.046237559326887334,0.0034662045060658286,False
002596,2022-04-27,bear,0.0056428571428571266,0.1006097656977738,0.0,True
002738,2022-04-27,bear,0.36000196025415715,0.100045368206789,0.0,True
002756,2022-04-27,bear,0.25293391671048476,0.10005860197488237,0.0,True
600211,2022-04-27,bear,0.11249505256648103,0.08964140390227571,0.004570383912248621,False
600993,2022-04-27,bear,0.05223056994818649,0.06350079242907958,0.015057113187954219,False
603289,2022-04-27,bear,0.14108511979823485,0.10013533787333095,0.0,True
603843,2022-04-27,bear,0.09811968680089496,0.07075477478215064,0.0022026431718060735,False
002125,2022-04-28,bear,0.08524418604651147,0.02178026242840314,0.004633920296571059,False
603396,2022-04-28,bear,0.20512360034453053,-0.0021645186425985896,0.00759219088937102,False
002960,2022-05-10,bear,0.20982619597550306,0.058333283491097676,-0.002624671916010346,False
603208,2022-05-10,bear,-0.05419662921348316,0.07489715308977152,-0.002871362940275568,False
603319,2022-05-17,bear,0.49597756831566514,-0.012404034340837033,0.004784688995215447,False
600657,2022-06-07,bear,0.21011172161172148,0.04554080074802802,0.029038112522685955,False
603229,2022-06-16,bear,0.641125152625153,0.06948540659502522,0.0009193993257736732,False
003038,2022-07-13,bear,0.22230878951426375,0.10011070479212147,0.0,True
