date,code,rank,g1430,pull,p1430,p1445,prev_close,limit,note
2021-08-16,002394,1,0.003989364248613958,0.0,7.55,7.55,7.519999980926514,0.1,
2021-08-16,600665,2,0.0036629966507866207,0.0036496350364962904,2.74,2.75,2.7300000190734863,0.1,
2021-08-16,600697,3,0.003228382208948277,0.0,12.43,12.43,12.390000343322754,0.1,
2021-08-16,000514,4,0.006410293325165961,-0.0031847133757962887,3.14,3.13,3.119999885559082,0.1,
2021-08-16,600716,5,-2.1951582218626697e-08,0.0,3.91,3.91,3.9100000858306885,0.1,
2021-08-16,000965,6,0.012820549970549155,-0.0042194092827004814,2.37,2.36,2.3399999141693115,0.1,
2021-08-16,600382,7,0.026525204132470614,0.0,3.87,3.87,3.7699999809265137,0.1,
2021-08-16,600658,8,-0.005290997762208316,0.0026595744680850686,3.76,3.77,3.7799999713897705,0.1,
2021-08-16,600051,9,-0.0015600386349691187,0.0015624999999999112,6.4,6.41,6.409999847412109,0.1,
2021-08-16,600356,10,-0.008595991247783763,0.0014450867052022698,6.92,6.93,6.980000019073486,0.1,
2021-08-16,002133,11,0.006968681267742305,0.0,2.89,2.89,2.869999885559082,0.1,
2021-08-16,002718,12,0.004680211123562428,-0.0023291925465839247,12.88,12.85,12.819999694824219,0.1,
2021-08-16,600287,13,0.0020575856400983916,-0.002053388090349051,4.87,4.86,4.860000133514404,0.1,
2021-08-16,600683,14,0.01166178789046346,0.0028818443804032867,3.47,3.48,3.430000066757202,0.1,
2021-08-16,600622,15,0.0036764600310978945,0.0,2.73,2.73,2.7200000286102295,0.1,
2021-08-16,000419,16,0.004773255968117729,0.004750593824228044,4.21,4.23,4.190000057220459,0.1,
2021-08-16,601107,17,0.0065789599993224535,-0.0032679738562092497,3.06,3.05,3.0399999618530273,0.1,
2021-08-16,000619,18,-0.007812477822880637,0.0019685039370078705,5.08,5.09,5.119999885559082,0.1,
2021-08-16,603709,19,0.007779827806701833,0.000593824228028561,16.84,16.85,16.709999084472656,0.1,
2021-08-16,000779,20,-4.435694300752857e-08,-0.0034883720930232176,8.6,8.57,8.600000381469727,0.1,
2021-09-13,600615,1,-0.006015051848690445,0.001512859304084735,6.61,6.62,6.650000095367432,0.1,
2021-09-13,600593,2,-0.029766717304239743,0.0,12.06,12.06,12.430000305175781,0.1,
2021-09-13,600382,3,0.005167988380451627,-0.0025706940874036244,3.89,3.88,3.869999885559082,0.1,
2021-09-13,603863,4,-0.0025125675943624692,0.0012594458438286438,7.94,7.95,7.960000038146973,0.1,
2021-09-13,002995,5,0.005291040074506315,0.0003759398496239186,26.6,26.61,26.459999084472656,0.1,
2021-09-13,603385,6,0.012235843346206643,0.001098901098901095,9.1,9.11,8.989999771118164,0.1,
2021-09-13,603221,7,0.0010449640015337547,-0.0010438413361169019,9.58,9.57,9.569999694824219,0.1,
2021-09-13,003007,8,-0.006250021538950823,-0.002287021154945612,17.49,17.45,17.600000381469727,0.1,
2021-09-13,605177,9,-0.004323235654923985,-0.0006680026720107257,29.94,29.92,30.06999969482422,0.1,
2021-09-13,002992,10,-0.010906617277562147,0.000689179875947632,14.51,14.52,14.670000076293945,0.1,
2021-09-13,603709,11,0.014362712667671973,-0.0011799410029498247,16.95,16.93,16.709999084472656,0.1,
2021-09-13,603096,12,0.011708747793166774,0.0,27.65,27.65,27.329999923706055,0.1,
2021-09-13,603661,13,0.010804284697120359,-0.004038004750593904,42.1,41.93,41.650001525878906,0.1,
2021-09-13,000608,14,0.006134972268481809,-0.0030487804878047697,3.28,3.27,3.259999990463257,0.1,
2021-09-13,603038,15,0.00527705497316,-0.002624671916010457,11.43,11.4,11.369999885559082,0.1,
2021-09-13,002989,16,0.013501782573545063,-0.001718951439621752,23.27,23.23,22.959999084472656,0.1,
2021-09-13,600697,17,0.010276710307508319,-0.0023474178403755097,12.78,12.75,12.649999618530273,0.1,
2021-09-13,603059,18,-0.005620626666305695,-0.0009420631182288641,21.23,21.21,21.350000381469727,0.1,
2021-09-13,603716,19,0.008035731452460393,0.0,11.29,11.29,11.199999809265137,0.1,
2021-09-13,603839,20,0.0035503185102998547,-0.002358490566037652,8.48,8.46,8.449999809265137,0.1,
2021-10-20,603680,1,-0.003575726113841049,-0.0011961722488037507,8.36,8.35,8.390000343322754,0.1,
2021-10-20,600356,2,0.005494476516327396,-0.001366120218579292,7.32,7.31,7.28000020980835,0.1,
2021-10-20,603266,3,-0.010638312472399658,0.0,10.23,10.23,10.34000015258789,0.1,
2021-10-20,002715,4,-0.008271311110487067,0.0,11.99,11.99,12.09000015258789,0.1,
2021-10-20,605298,5,-0.008630038167546372,-0.0021762785636560977,18.38,18.34,18.540000915527344,0.1,
2021-10-20,603928,6,-0.010328603048856633,0.0,10.54,10.54,10.649999618530273,0.1,
2021-10-20,603878,7,-0.007418363919301507,-0.001494768310911887,6.69,6.68,6.739999771118164,0.1,
2021-10-20,600706,8,-0.006033199660704813,-0.004552352048558417,6.59,6.56,6.630000114440918,0.1,
2021-10-20,603208,9,-0.037167829103612826,0.0013973799126636433,57.25,57.33,59.459999084472656,0.1,
2021-10-20,600512,10,-0.006493481883593555,0.0,3.06,3.06,3.0799999237060547,0.1,
2021-11-17,002016,1,-1.550689920915005e-08,-0.00203252032520318,4.92,4.91,4.920000076293945,0.1,
2021-11-17,002394,2,-1.4998809527710932e-08,0.001310615989515096,7.63,7.64,7.630000114440918,0.1,
2021-11-17,002133,3,0.003571445662148509,0.0,2.81,2.81,2.799999952316284,0.1,
2021-11-17,600665,4,0.0035842431124375462,-0.0035714285714284477,2.8,2.79,2.7899999618530273,0.1,
2021-11-17,000900,5,-0.004962830959579723,0.0,4.01,4.01,4.03000020980835,0.1,
2021-11-17,000419,6,0.00714290288030095,0.0,4.23,4.23,4.199999809265137,0.1,
2021-11-17,603518,7,0.0008453149922602599,0.0008445945945945166,11.84,11.85,11.829999923706055,0.1,
2021-11-17,600716,8,-1.6986565154475386e-08,-0.0025445292620865922,3.93,3.92,3.930000066757202,0.1,
2021-11-17,000863,9,1.0291449470400948e-08,0.0,2.78,2.78,2.7799999713897705,0.1,
2021-11-17,000042,10,0.012893980040197928,0.0,7.07,7.07,6.980000019073486,0.1,
2021-11-17,000797,11,-0.008064523757930542,-0.004065040650406471,2.46,2.45,2.4800000190734863,0.1,
2021-11-17,600533,12,0.007017577556729826,-0.0034843205574913716,2.87,2.86,2.8499999046325684,0.1,
2021-11-17,600697,13,0.002497899296123096,0.0008305647840531893,12.04,12.05,12.010000228881836,0.1,
2021-11-17,000759,14,0.002127700242700037,-0.002123142250530785,4.71,4.7,4.699999809265137,0.1,
2021-11-17,000514,15,-0.003257307316041236,-0.0032679738562092497,3.06,3.05,3.069999933242798,0.1,
2021-11-17,600603,16,-0.005277034842831152,-0.0053050397877983935,3.77,3.75,3.7899999618530273,0.1,
2021-11-17,000548,17,0.005361925153952507,-0.002666666666666595,3.75,3.74,3.7300000190734863,0.1,
2021-11-17,000006,18,3.667978276666872e-08,0.0,4.16,4.16,4.159999847412109,0.1,
2021-11-17,603958,19,0.006399999999999961,0.0,6.29,6.29,6.25,0.1,
2021-11-17,600569,20,0.0038022376897151045,0.0037878787878786735,2.64,2.65,2.630000114440918,0.1,
2021-12-15,000608,1,0.013840793648397298,-0.0034129692832765013,2.93,2.92,2.890000104904175,0.1,
2021-12-15,600593,2,0.0016433790945500348,-0.003281378178835004,12.19,12.15,12.170000076293945,0.1,
2021-12-15,002394,3,0.015424137140814587,-0.0025316455696202667,7.9,7.88,7.78000020980835,0.1,
2021-12-15,002887,4,0.012725311870706468,-0.0020942408376964927,9.55,9.53,9.430000305175781,0.1,
2021-12-15,603955,5,0.004750584720144113,-0.0031520882584711307,12.69,12.65,12.630000114440918,0.1,
2021-12-15,002314,6,0.010169475197073119,0.003355704697986628,2.98,2.99,2.950000047683716,0.1,
2021-12-15,000900,7,0.012254920889441578,-0.002421307506053183,4.13,4.12,4.079999923706055,0.1,
2021-12-15,605178,8,-0.0008561904892545602,-0.0008568980291345785,35.01,34.98,35.040000915527344,0.1,
2021-12-15,600133,9,0.011538498641472605,-0.0019011406844106071,5.26,5.25,5.199999809265137,0.1,
2021-12-15,002718,10,-0.0007861844983391153,-0.0015735641227381247,12.71,12.69,12.720000267028809,0.1,
2021-12-15,000797,11,0.016194320213136493,-0.003984063745019806,2.51,2.5,2.4700000286102295,0.1,
2021-12-15,000668,12,-0.005852236711591408,0.0,13.59,13.59,13.670000076293945,0.1,
2021-12-15,603368,13,0.005031470653401371,-0.0012515644555693983,15.98,15.96,15.899999618530273,0.1,
2021-12-15,002716,14,-0.0031055989196825395,-0.0031152647975076775,3.21,3.2,3.2200000286102295,0.1,
2021-12-15,600785,15,3.7429573884750766e-08,-0.0016353229762877675,12.23,12.21,12.229999542236328,0.1,
2021-12-15,600858,16,0.010060404812697321,-0.0019920318725099584,5.02,5.01,4.96999979019165,0.1,
2021-12-15,600665,17,0.031468569302573135,-0.003389830508474634,2.95,2.94,2.859999895095825,0.1,
2021-12-15,000501,18,-3.073270615772117e-08,0.0,9.93,9.93,9.930000305175781,0.1,
2021-12-15,000042,19,0.021097027238936583,-0.0013774104683195176,7.26,7.25,7.110000133514404,0.1,
2021-12-15,600231,20,0.0156250227009882,0.0,2.6,2.6,2.559999942779541,0.1,
2022-01-13,600193,1,,,,,,0.1,none
2022-01-13,600683,2,0.0018903663930216474,0.0,5.3,5.3,5.289999961853027,0.1,
2022-01-13,002992,3,-0.001458791983320551,-0.0029218407596784957,13.69,13.65,13.710000038146973,0.1,
2022-01-13,600615,4,0.007092194040482447,-0.005868544600938885,8.52,8.47,8.460000038146973,0.1,
2022-01-13,000635,5,-0.01767677713955984,0.0008568980291345785,11.67,11.68,11.880000114440918,0.1,
2022-01-13,603518,6,-0.012106564904462824,0.005718954248365993,12.24,12.31,12.390000343322754,0.1,
2022-01-13,002622,7,-0.009090930568284694,-0.002293577981651529,4.36,4.35,4.400000095367432,0.1,
2022-01-13,002090,8,-0.007692349289596612,-0.001107419712070845,9.03,9.02,9.100000381469727,0.1,
2022-01-13,002272,9,-0.012364728405853787,0.0,6.39,6.39,6.46999979019165,0.1,
2022-01-13,601015,10,0.0045045275188029255,-0.001494768310911887,6.69,6.68,6.659999847412109,0.1,
2022-02-17,603518,1,-0.016759755582324676,-0.0018939393939395588,10.56,10.54,10.739999771118164,0.1,
2022-02-17,600067,2,-0.014880921624076171,0.0030211480362536403,3.31,3.32,3.359999895095825,0.1,
2022-02-17,603161,3,-0.005430592820660052,-0.003900156006240274,12.82,12.77,12.890000343322754,0.1,
2022-02-17,603139,4,-0.012352581276775632,-0.0017055144968732838,17.59,17.56,17.809999465942383,0.1,
2022-02-17,000635,5,-0.008273017131619875,-0.002085505735140769,9.59,9.57,9.670000076293945,0.1,
2022-02-17,603226,6,-0.01442999001669476,-0.002928257686676483,6.83,6.81,6.929999828338623,0.1,
2022-02-17,000833,7,-0.013490696569048,0.0,5.85,5.85,5.929999828338623,0.1,
2022-02-17,600508,8,-1.512268466008493e-08,0.0,10.09,10.09,10.09000015258789,0.1,
2022-02-17,603776,9,-2.9027498960054743e-08,0.0006341154090043766,15.77,15.78,15.770000457763672,0.1,
2022-02-17,002882,10,0.0010373087470036957,-0.0031088082901555847,9.65,9.62,9.640000343322754,0.1,
2022-03-17,000042,1,0.03576341399664651,-0.003984063745019917,7.53,7.5,7.269999980926514,0.1,
2022-03-17,603988,2,-0.0019267932774965635,0.0,10.36,10.36,10.380000114440918,0.1,
2022-03-17,002989,3,0.045504399084263625,-0.001048767697954922,19.07,19.05,18.239999771118164,0.1,
2022-03-17,603776,4,0.045390042639386285,-0.006105834464043447,14.74,14.65,14.100000381469727,0.1,
2022-03-17,603810,5,0.019102993262100743,-0.007334963325183352,12.27,12.18,12.039999961853027,0.1,
2022-03-17,603022,6,0.008394571801720874,0.0,9.61,9.61,9.529999732971191,0.1,
2022-03-17,000608,7,0.03010033116260802,0.0,3.08,3.08,2.990000009536743,0.1,
2022-03-17,003016,8,0.01106195116913189,-0.002188183807440014,9.14,9.12,9.039999961853027,0.1,
2022-03-17,603109,9,0.012417224937194105,0.002861815208503593,24.46,24.53,24.15999984741211,0.1,
2022-03-17,002718,10,0.033898288372843366,-0.003278688524590123,12.2,12.16,11.800000190734863,0.1,
2022-04-18,605288,1,0.027349030232276084,0.0,37.94,37.94,36.93000030517578,0.1,
2022-04-18,003011,2,0.030192102983560787,0.0,22.52,22.52,21.860000610351562,0.1,
2022-04-18,002576,3,0.014044914844386858,-0.0009233610341643494,10.83,10.82,10.680000305175781,0.1,
2022-04-18,003041,4,0.00756756756756749,-0.0010729613733905241,18.64,18.62,18.5,0.1,
2022-04-18,001210,5,-0.002394232530767759,-0.0015999999999999348,25.0,24.96,25.059999465942383,0.1,
2022-04-18,001207,6,0.012986981051156254,-0.0017482517482517723,17.16,17.13,16.940000534057617,0.1,
2022-04-18,605069,7,0.006250000000000089,0.001242236024844745,16.1,16.12,16.0,0.1,
2022-04-18,603917,8,0.034695429738358596,0.0007451564828613311,13.42,13.43,12.970000267028809,0.1,
2022-04-18,605001,9,-0.0029939863551758927,0.0030030030030030463,6.66,6.68,6.679999828338623,0.1,
2022-04-18,002282,10,0.015483870967741842,-0.0012706480304954804,7.87,7.86,7.75,0.1,
2022-05-19,603385,1,0.0027893896085413594,0.0027816411682892728,7.19,7.21,7.170000076293945,0.1,
2022-05-19,605288,2,0.00088942953367388,0.005627962085308136,33.76,33.95,33.72999954223633,0.1,
