model_index,name,_fam,cfg,scan_sharpe,scan_cagr,rc_sharpe,rc_cagr,rc_mdd,rc_win,rc_turn,rc_nper,_min,rob_median,_max,G2med,ex_gross,ex_net,ir,t_net,ex_win,n_pass,_dmax
1656,L2::ln_amt20+apvc20+intraday20+ret20+vr5_20,L2,10/60,1.7181,0.4683,1.7181,0.4683,-0.1547,0.8182,0.9955,22,-0.4496,0.0542,1.7181,0.6986,0.0836,0.073,1.3754,3.1478,0.7727,6,0.0
1880,L2::ln_amt20+intraday20+pvc20+ret20+vr5_20,L2,10/60,1.7603,0.4678,1.7603,0.4678,-0.1488,0.8636,0.9955,22,-0.4195,0.0323,1.7603,0.7132,0.0832,0.0726,1.3707,3.1371,0.8182,6,0.0
5377,L2b::ln_amt20+vol_ratio+amp20::--+,L2b,5/5,0.9326,0.3394,0.9326,0.3394,-0.6176,0.5418,0.5412,275,0.5201,0.7292,0.9326,0.7559,0.0093,0.0036,0.6617,1.5456,0.5018,5,0.0
5429,L2b::ln_amt20+atr20+amp20::-++,L2b,20/60,0.8967,0.2542,0.8967,0.2542,-0.3559,0.7727,0.8098,22,0.1493,0.6193,0.8967,0.8181,0.0444,0.0358,0.7955,1.8207,0.7273,5,0.0
5371,L2b::ln_amt20+vol_ratio+ret60::--+,L2b,10/20,0.7534,0.1756,0.7534,0.1756,-0.2659,0.6176,0.9557,68,0.2781,0.5976,0.7534,0.4283,0.0148,0.0046,0.3548,0.8243,0.5441,5,0.0
9629,L3_icir::ln_amt20+apvc20+intraday20+vol20+amp20+vr5_20,L3_icir,10/60,0.8948,0.2021,0.8948,0.2021,-0.1412,0.5909,0.9545,22,-0.1432,0.5804,0.8948,0.6536,0.0314,0.0213,0.3783,0.8659,0.5,5,0.0
9748,L3_ic::ln_amt20+apvc20+pvc20+atr20+ret60+vr5_20,L3_ic,5/60,0.8519,0.1825,0.8519,0.1825,-0.2172,0.6364,0.9909,22,-0.0259,0.5744,0.8519,0.5066,0.0276,0.0171,0.5251,1.2019,0.5909,5,0.0
9619,L3_icir::ln_amt20+apvc20+intraday20+vol20+atr20+vr5_20,L3_icir,10/60,0.8967,0.203,0.8967,0.203,-0.1421,0.5909,0.9591,22,-0.1387,0.5699,0.8967,0.645,0.0317,0.0215,0.3825,0.8754,0.5455,5,0.0
202,L2::ln_amt20+pvc20+ret60,L2,20/60,0.8675,0.2203,0.8675,0.2203,-0.203,0.5909,0.979,22,0.1688,0.6196,0.8675,0.6179,0.0373,0.027,0.6745,1.5436,0.5909,4,0.0
5449,L2b::ln_amt20+ret60+amp20::--+,L2b,20/60,0.8921,0.2815,0.8921,0.2815,-0.2971,0.7727,0.9495,22,0.3905,0.5717,0.8921,0.6257,0.0523,0.0423,0.8183,1.8729,0.4545,4,0.0
