code,date,score
688216,2024-06-20,26.047668277701376
688076,2024-06-20,23.77893556494844
300462,2024-06-20,22.937360556069855
688130,2024-06-20,22.565081044368767
002199,2024-06-20,15.931768279202398
300689,2024-06-21,19.732651325262374
002766,2024-06-21,18.935962516095636
688693,2024-06-21,17.94722483036794
688130,2024-06-21,16.947440588342122
688216,2024-06-21,16.94069308840846
603586,2024-06-24,17.452956233763345
301027,2024-06-24,17.14019061745953
300930,2024-06-24,15.322062810598279
300469,2024-06-24,13.22402365832911
301176,2024-06-24,12.572236453742631
300386,2024-06-25,21.532846440437808
603586,2024-06-25,19.01227203886551
300930,2024-06-25,14.920549242798069
300401,2024-06-25,12.637691962432921
600378,2024-06-25,12.1607863176547
603586,2024-06-26,21.477960484256492
301279,2024-06-26,19.585326112172744
300469,2024-06-26,17.53511301904014
300946,2024-06-26,16.70208727234718
300386,2024-06-26,14.943053876613767
301279,2024-06-27,22.16557386523112
688018,2024-06-27,21.019528817502408
300959,2024-06-27,20.68104307594898
603586,2024-06-27,18.944952424990568
301129,2024-06-27,17.32363747089612
300486,2024-06-28,18.049862430821676
603117,2024-06-28,12.971275371147625
002857,2024-06-28,12.489655899541301
300469,2024-06-28,12.353700819224235
301279,2024-06-28,11.588629507847862
301388,2024-07-01,18.33637658305597
300461,2024-07-01,17.120339683114217
301141,2024-07-01,16.655390104755067
300103,2024-07-01,15.17026206168047
300197,2024-07-01,14.888604159719488
300996,2024-07-02,24.06171235566462
300561,2024-07-02,20.13875567565195
301396,2024-07-02,19.999370815716034
300730,2024-07-02,19.854426231630896
301119,2024-07-02,18.938301402975075
603171,2024-07-03,19.645058268089542
300189,2024-07-03,14.693220568482769
600076,2024-07-03,14.064390057943958
002279,2024-07-03,13.418155396849404
300561,2024-07-03,13.365437649155565
300448,2024-07-04,19.12887848425548
301118,2024-07-04,14.911579397738052
603227,2024-07-04,13.129622700019462
300469,2024-07-04,13.105248681603248
600518,2024-07-04,12.862496593216633
600518,2024-07-05,16.27765737702181
300549,2024-07-05,16.037899868681766
688026,2024-07-05,15.12321190385834
002713,2024-07-05,14.931244905677897
002689,2024-07-05,13.843054533626123
300120,2024-07-08,18.423205023389414
301118,2024-07-08,16.401551031335465
300391,2024-07-08,14.701744169906206
600476,2024-07-08,13.602522731363528
603155,2024-07-08,11.10021420191823
300807,2024-07-09,17.33375798768271
300120,2024-07-09,16.409375884769638
603155,2024-07-09,15.558149184156775
301300,2024-07-09,15.141744535307042
301228,2024-07-09,14.218297305001087
300807,2024-07-10,18.02656021709091
301300,2024-07-10,17.705696291660043
603155,2024-07-10,15.464353524273758
600611,2024-07-10,15.145504004453572
301326,2024-07-10,14.961786374391863
300807,2024-07-11,19.16908238387827
600611,2024-07-11,15.194860964235412
600650,2024-07-11,13.810241156592555
301217,2024-07-11,13.73391272736005
600711,2024-07-11,12.47593334107539
600650,2024-07-12,17.58768203938591
600611,2024-07-12,15.094540714691174
300391,2024-07-12,14.323426005279568
300807,2024-07-12,12.963002688864451
600711,2024-07-12,12.331164620052439
301488,2024-07-15,21.021423874348034
600650,2024-07-15,18.447260002061377
600611,2024-07-15,15.712149322710165
300807,2024-07-15,15.356500024716745
300218,2024-07-15,14.637292519387954
600650,2024-07-16,20.141266594296603
002829,2024-07-16,17.94130290601967
300566,2024-07-16,17.19200613668031
300446,2024-07-16,16.04566593149589
600626,2024-07-16,15.049163021207526
600650,2024-07-17,25.10471395917465
600676,2024-07-17,17.441298577325888
300391,2024-07-17,17.034921988544905
300441,2024-07-17,16.355195018119996
000868,2024-07-17,15.945989357504494
300391,2024-07-18,19.710811282395603
600676,2024-07-18,17.42959562067732
603336,2024-07-18,16.003011771986657
000637,2024-07-18,14.392224339021322
600611,2024-07-18,13.175675777631872
300960,2024-07-19,21.490937165819687
600676,2024-07-19,17.551678641040382
300391,2024-07-19,17.12365565383945
300611,2024-07-19,15.551031928051081
600611,2024-07-19,14.553292255461502
301117,2024-07-22,23.018025605819947
600650,2024-07-22,19.043694632615395
600611,2024-07-22,17.08039404330114
301016,2024-07-22,16.645290429821117
