code,date,regime,rsi,fwd20
600529,2021-02-05,weak,29.296874999999986,-0.0135512820512818
600121,2021-02-09,weak,28.40095465393796,0.2551666666666668
600316,2021-02-09,weak,31.339712918660283,-0.2264184149184149
600198,2021-02-10,bull,17.049180327868854,0.17015137614678905
002893,2021-04-27,weak,28.67513611615246,0.2521072572038419
000868,2021-05-17,bull,30.603448275862064,-0.009078692493946706
600918,2021-05-18,bull,29.122055674518208,-0.09475791855203634
603218,2021-05-20,weak,21.376571806750476,0.11049999999999989
603218,2021-05-21,weak,22.19931271477664,0.12275196850393695
603882,2021-07-20,weak,26.909722222222257,-0.10855035971223019
600732,2021-07-30,bear,33.720930232558146,0.01999606299212615
603836,2021-07-30,bear,23.8568588469185,0.03961821086261981
002833,2021-08-02,bear,31.6840277777778,0.15677672172016194
603259,2021-08-24,bear,25.815921257123193,0.1390779683074333
600298,2021-09-01,bear,30.06939090208175,0.157315943728019
002900,2021-09-06,bear,30.21664766248574,0.2751028708133974
002163,2021-10-08,bear,21.235521235521233,-0.025288098693759076
002674,2021-10-08,bear,27.352941176470594,-0.0962457627118644
000422,2021-10-12,bear,34.51374207188161,0.3355297029702973
000837,2021-10-14,bear,32.60530421216846,0.0030322434150774173
000933,2021-10-14,bear,15.327564894931982,-0.226621512151215
002006,2021-10-14,bear,27.459016393442596,0.18407625145518042
002080,2021-10-14,bear,29.55575702629193,0.01612951334379893
002114,2021-10-14,bear,28.199566160520604,-0.09173952095808384
002171,2021-10-14,bear,16.348195329086963,0.1144765625
002455,2021-10-14,bear,30.65187239944524,0.08068950064020493
002610,2021-10-14,bear,27.639751552795005,0.1796421911421911
002617,2021-10-14,bear,30.016051364365993,0.3978023255813952
600869,2021-10-14,bear,32.38434163701068,0.0486769911504424
600961,2021-10-14,bear,27.579365079365047,-0.13858333333333323
000531,2021-10-27,bear,34.75609756097562,-0.022749999999999982
002558,2021-10-29,bear,32.8413284132842,0.017763370332996752
605162,2021-11-01,bear,27.948717948717956,0.023838345864661447
605169,2021-11-01,bear,32.90780141843969,0.07988840070298793
600238,2021-11-04,bear,33.211009174311926,0.039881215469613165
600165,2021-11-09,bear,30.745814307458147,-0.08680454042081946
601865,2021-11-17,bear,33.86727688787187,0.05113269639065805
600057,2021-12-09,bear,34.838709677419345,0.10622151898734174
003008,2021-12-16,bear,32.22591362126241,0.004336357637743381
000422,2021-12-28,bear,33.79583746283454,-0.18242429168601942
002460,2021-12-28,bear,32.521026525770935,-0.02738652482269548
003008,2022-01-12,bear,32.19844357976652,-0.12334625078764953
002141,2022-01-24,bear,34.634146341463406,0.01924141048824597
003037,2022-02-07,bear,30.14492753623189,-0.02709633027522922
002605,2022-02-09,bear,33.1219168428471,-0.2516606425702808
000887,2022-02-15,bear,27.07275803722503,-0.2442365728900257
002036,2022-02-15,bear,28.94265232974908,-0.23753106588109257
002349,2022-02-15,bear,34.1833636915604,0.02748916967509014
002870,2022-02-15,bear,31.43120110446388,-0.08271212121212128
002177,2022-02-17,bear,33.38709677419355,-0.06686912751677858
002177,2022-02-18,bear,34.042553191489375,-0.04750654664484459
603899,2022-03-09,bear,33.019551049963795,-0.1483065967016492
605555,2022-03-17,bear,22.902270483711618,0.016698074277853813
002637,2022-03-18,bear,32.43606998654106,-0.039104166666666426
603239,2022-03-23,bear,31.972789115646265,-0.14303846153846173
603239,2022-03-24,bear,31.864406779661024,-0.22754938271604946
002935,2022-04-08,bear,27.729468599033822,-0.22670236920039483
000815,2022-04-15,bear,28.03617571059432,-0.06059983633387904
603197,2022-04-15,bear,28.547392035894575,0.0296111111111111
603305,2022-04-15,bear,28.436426116838447,0.21595826187050388
603348,2022-04-15,bear,27.99361362426822,0.4406398235870635
603997,2022-04-15,bear,22.0,0.08771671018276768
002132,2022-04-19,bear,32.903225806451616,0.17260041841004164
002549,2022-04-19,bear,30.30303030303031,0.03713013698630137
603209,2022-04-25,bear,31.657142857142844,0.10802380952380959
002980,2022-04-26,bear,31.73241852487135,-0.011101434834595404
000023,2022-04-27,bear,13.122923588039868,0.16655383022774323
000789,2022-04-27,bear,27.69607843137254,0.0009003542958370796
002596,2022-04-27,bear,30.966469428007883,0.0056428571428571266
002738,2022-04-27,bear,32.27928155831016,0.36000196025415715
002756,2022-04-27,bear,27.229660144181253,0.25293391671048476
600211,2022-04-27,bear,24.71556903782144,0.11249505256648103
600993,2022-04-27,bear,29.887920298879237,0.05223056994818649
603289,2022-04-27,bear,21.714285714285737,0.14108511979823485
603843,2022-04-27,bear,27.639751552795047,0.09811968680089496
002125,2022-04-28,bear,27.515723270440276,0.08524418604651147
603396,2022-04-28,bear,27.125506072874472,0.20512360034453053
603963,2022-05-09,bear,34.394341290892996,-0.0115
002960,2022-05-10,bear,32.64248704663214,0.20982619597550306
603208,2022-05-10,bear,30.433581883457606,-0.05419662921348316
603319,2022-05-17,bear,34.52380952380955,0.49597756831566514
600657,2022-06-07,bear,30.04115226337447,0.21011172161172148
603229,2022-06-16,bear,23.18634423897582,0.641125152625153
003038,2022-07-13,bear,26.895002807411515,0.22230878951426375
603297,2022-07-14,bear,34.59736783403976,0.15392056074766353
001270,2022-07-15,bear,31.880733944954144,0.21655280528052795
002338,2022-09-02,bear,27.20207253886008,-0.058692071731948944
603217,2022-09-02,bear,20.16806722689074,-0.22922754312908972
002438,2022-09-08,bear,30.59701492537313,-0.18862177121771223
002648,2022-09-20,bear,31.62393162393161,-0.10932330703517561
000812,2022-09-27,bear,30.833333333333343,-0.03177027027027039
603612,2022-10-11,bear,22.379986477349604,0.06984453781512608
000670,2022-10-12,bear,31.793478260869577,0.20042052980132447
002206,2022-10-12,bear,25.806451612903203,0.12159982486865147
002387,2022-10-12,bear,34.536082474226816,0.09784744268077612
002463,2022-10-12,bear,28.77192982456144,0.22957142857142837
600353,2022-10-12,bear,33.797909407665514,0.2141846081208692
603005,2022-10-12,bear,27.478260869565304,0.12403895410885853
603068,2022-10-12,bear,32.67211201866971,0.0511200537840953
603097,2022-10-12,bear,33.01787592008412,0.05858633824276256
603916,2022-10-12,bear,27.69230769230765,-0.09109905660377375
603936,2022-10-12,bear,34.92063492063495,0.09512080825451415
600353,2022-10-17,bear,32.39999999999999,0.14875641025641012
603603,2022-10-17,bear,31.353135313531354,-0.013441747572815622
002554,2022-10-19,bear,34.61538461538464,0.0014870129870128805
002336,2022-11-01,bear,31.27572016460907,0.15265662650602413
002824,2022-11-01,bear,34.035326086956516,-0.013467213114754007
603008,2022-11-01,bear,20.786516853932582,0.24713557858376506
605138,2022-11-24,bear,34.01360544217677,-0.012397666068222391
000595,2022-12-20,bear,31.791907514450898,-0.07929661016949156
003027,2022-12-20,bear,28.50435949027498,0.04887037037037063
002580,2022-12-26,bear,27.217125382262992,0.12018724279835376
002598,2022-12-26,bear,27.111111111111114,0.05609098786828433
002996,2022-12-26,bear,34.745762711864316,0.10315451784358383
600586,2022-12-26,bear,29.900332225913644,0.3450121412803529
603396,2022-12-26,bear,33.681726230613606,0.12795494721335615
603507,2022-12-26,bear,24.704956726986623,0.14306110154905355
603787,2022-12-26,bear,34.85477178423238,0.0412165142549757
603612,2022-12-27,bear,21.753607103218684,0.06019811320754738
600664,2023-01-03,bear,30.496453900709227,-0.05405319148936176
600664,2023-01-05,bear,31.538461538461533,-0.014664556962025444
001236,2023-02-20,weak,22.1092757306226,-0.026830188679245293
603917,2023-03-21,bear,22.85945072697902,-0.1908538804307462
002881,2023-03-23,bear,34.557063048683176,0.1440016671718703
002402,2023-04-27,bear,27.404718693284934,-0.005111000000000022
600388,2023-05-11,bear,30.90128755364809,0.02827939506172823
002463,2023-05-18,bear,31.323261181352578,0.11324437627811886
000756,2023-05-22,bear,31.38755980861241,-0.07345060694851406
603168,2023-05-22,bear,27.920227920227973,-0.07310907192575393
000933,2023-06-02,bear,32.57290114634965,-0.014462962962962945
002466,2023-06-02,bear,31.64794007490636,-0.04515848348623845
600386,2023-06-05,bear,25.294117647058798,-0.07801884700665178
002893,2023-08-01,bull,28.45528455284554,-0.08011989205859664
605117,2023-08-10,weak,24.573082489146188,-0.2690825355641047
000598,2023-08-24,bear,33.783783783783676,0.012936090225564034
603963,2023-09-04,bear,25.91792656587475,-0.03902293577981657
603963,2023-09-06,bear,29.33985330073351,0.024611111111110983
002552,2023-09-25,bear,31.89655172413788,-0.1643627015008337
