sym,code,name,mkt,list_date_s,end_date_s
sh688086,688086,退市紫晶,sh,2020-02-26,2023-07-07
sh688287,688287,退市观典,sh,2022-05-25,2026-06-10
sh688555,688555,退市泽达,sh,2020-06-23,2023-07-07
sz000004,000004,国华退,sz,1990-12-01,2026-07-14
sz000005,000005,ST星源,sz,1990-12-10,2024-04-26
sz000018,000018,神城A退,sz,1992-06-16,2020-01-07
sz000023,000023,*ST深天,sz,1993-04-29,2024-09-02
sz000024,000024,招商地产,sz,1993-06-07,2015-12-30
sz000033,000033,新都退,sz,1994-01-03,2017-07-07
sz000038,000038,大通退,sz,1994-08-08,2023-07-12
sz000040,000040,*ST旭蓝,sz,1994-08-08,2025-04-30
sz000046,000046,*ST泛海,sz,1994-09-12,2024-02-07
sz000150,000150,*ST宜康,sz,2000-08-07,2023-06-09
sz000413,000413,ST旭电,sz,1996-09-25,2024-10-11
sz000416,000416,*ST民控,sz,1996-07-19,2024-06-05
sz000418,000418,小天鹅Ａ,sz,1997-03-28,2019-06-21
sz000502,000502,绿景退,sz,1992-11-23,2022-06-27
sz000511,000511,烯碳退,sz,1993-05-18,2018-07-18
sz000540,000540,*ST中天,sz,1994-02-02,2023-06-30
sz000562,000562,宏源证券,sz,1994-02-02,2015-01-26
sz000584,000584,工智退,sz,1995-11-28,2025-07-11
sz000585,000585,东电退,sz,1995-12-13,2022-05-24
sz000587,000587,*ST金洲,sz,1996-04-25,2023-04-03
sz000594,000594,国恒退,sz,1996-03-20,2015-07-13
sz000606,000606,顺利退,sz,1996-10-04,2023-07-06
sz000611,000611,天首退,sz,1996-10-08,2022-06-28
sz000613,000613,东海A退,sz,1997-01-28,2022-06-29
sz000616,000616,*ST海投,sz,1996-11-08,2023-08-23
sz000622,000622,恒立退,sz,1996-11-07,2025-07-16
sz000627,000627,*ST天茂,sz,1996-11-12,2025-09-30
sz000638,000638,*ST万方,sz,1996-11-26,2026-06-03
sz000662,000662,天夏退,sz,1996-12-16,2021-04-12
sz000666,000666,经纬纺机,sz,1996-12-10,2023-10-26
sz000667,000667,ST美置,sz,1996-12-05,2023-07-14
sz000671,000671,ST阳光城,sz,1996-12-18,2023-08-16
sz000673,000673,当代退,sz,1997-01-24,2022-07-04
sz000687,000687,华讯退,sz,1997-02-21,2022-06-17
sz000693,000693,华泽退,sz,1997-02-26,2019-07-09
sz000732,000732,ST泰禾,sz,1997-07-04,2023-08-04
sz000748,000748,长城信息,sz,1997-07-04,2017-01-18
sz000760,000760,斯太退,sz,1997-06-27,2021-07-23
sz000780,000780,ST平能,sz,1997-06-06,2022-01-24
sz000806,000806,银河退,sz,1998-04-16,2023-07-06
sz000835,000835,长动退,sz,1999-06-25,2022-05-23
sz000836,000836,ST富通,sz,1997-09-29,2024-08-12
sz000851,000851,*ST高鸿,sz,1998-06-09,2025-11-11
sz000861,000861,海印股份,sz,1998-10-28,2024-09-18
sz000916,000916,华北高速,sz,1999-09-27,2017-12-25
sz000918,000918,*ST嘉凯,sz,1999-07-20,2023-07-28
sz000939,000939,凯迪退,sz,1999-09-23,2020-12-17
sz000961,000961,ST中南,sz,2000-03-01,2024-07-11
sz000971,000971,*ST高升,sz,2000-04-27,2024-07-24
sz000976,000976,*ST华铁,sz,2000-06-01,2024-08-27
sz000979,000979,中弘退,sz,2000-06-16,2018-12-28
sz000982,000982,中银绒业,sz,2000-07-06,2024-08-12
sz000996,000996,中期退,sz,2000-07-18,2024-06-28
sz002002,002002,ST鸿达,sz,2004-06-25,2024-03-18
sz002013,002013,中航机电,sz,2004-07-05,2023-03-17
sz002018,002018,华信退,sz,2004-07-13,2019-11-01
sz002070,002070,众和退,sz,2006-10-12,2019-07-09
sz002071,002071,长城退,sz,2006-10-12,2021-05-07
sz002087,002087,新纺退,sz,2006-11-30,2024-06-28
sz002089,002089,新海退,sz,2006-11-30,2024-04-18
sz002113,002113,*ST天润,sz,2007-02-08,2023-08-11
sz002118,002118,*ST紫鑫,sz,2007-03-02,2023-08-04
sz002143,002143,印纪退,sz,2007-07-20,2019-11-29
sz002147,002147,新光退,sz,2007-08-08,2022-06-23
sz002220,002220,天宝退,sz,2008-02-28,2020-08-11
sz002231,002231,*ST奥维,sz,2008-05-12,2026-03-27
sz002260,002260,德奥退,sz,2008-07-16,2022-06-17
sz002280,002280,ST联络,sz,2009-08-21,2024-08-16
sz002288,002288,*ST超华,sz,2009-09-03,2024-08-19
sz002308,002308,*ST威创,sz,2009-11-27,2024-09-27
sz002325,002325,*ST洪涛,sz,2009-12-22,2024-08-15
sz002336,002336,人乐退,sz,2010-01-13,2025-07-04
sz002341,002341,ST新纶,sz,2010-01-22,2024-08-23
sz002359,002359,北讯退,sz,2010-02-10,2021-07-23
sz002411,002411,必康退,sz,2010-05-25,2023-07-12
sz002417,002417,深南退,sz,2010-06-01,2023-07-10
sz002433,002433,太安退,sz,2010-06-18,2024-07-05
sz002435,002435,ST长康,sz,2010-06-18,2024-08-15
sz002447,002447,晨鑫退,sz,2010-07-13,2022-06-27
sz002450,002450,康得退,sz,2010-07-16,2021-05-31
sz002464,002464,众应退,sz,2010-08-31,2022-06-28
sz002473,002473,圣莱退,sz,2010-09-10,2022-06-22
sz002477,002477,雏鹰退,sz,2010-09-15,2019-10-16
sz002499,002499,科林退,sz,2010-11-09,2023-04-18
sz002502,002502,ST鼎龙,sz,2010-11-17,2024-09-05
sz002503,002503,*ST搜特,sz,2010-11-17,2023-08-11
sz002504,002504,*ST弘高,sz,2010-11-18,2023-08-21
sz002505,002505,鹏都农牧,sz,2010-11-18,2024-08-30
sz002509,002509,天茂退,sz,2010-11-23,2020-07-20
sz002604,002604,龙力退,sz,2011-07-28,2020-07-15
sz002610,002610,ST爱康,sz,2011-08-15,2024-08-12
sz002618,002618,丹邦退,sz,2011-09-20,2022-06-22
sz002619,002619,*ST艾格,sz,2011-09-29,2022-04-28
sz002621,002621,*ST美吉,sz,2011-09-29,2024-08-05
sz002665,002665,ST航高,sz,2012-03-27,2024-08-26
sz002680,002680,长生退,sz,2012-06-05,2019-11-27
sz002684,002684,猛狮退,sz,2012-06-12,2022-06-27
sz002699,002699,*ST美盛,sz,2012-09-11,2024-06-05
sz002711,002711,欧浦退,sz,2014-01-27,2021-07-15
sz002740,002740,*ST爱迪,sz,2015-01-22,2024-03-04
sz002750,002750,龙津退,sz,2015-03-24,2025-06-27
sz002751,002751,易尚退,sz,2015-04-24,2023-07-13
sz002770,002770,科迪退,sz,2015-06-30,2022-06-23
sz002776,002776,*ST柏龙,sz,2015-06-26,2024-01-25
sz002781,002781,奇信退,sz,2015-12-22,2023-07-05
