code,entry_date,entry_px,exit_date,exit_px,ret,hold,regime,ex_b,ex_m
sh600882,2016-06-29,9.9468675,2016-07-08,10.48,0.04753984106051479,7,bear,0.011864401278256942,0.036499062000885374
sz002306,2016-09-19,6.547432499999999,2016-09-22,7.04,0.06904805815103865,3,bear,0.058759561099999136,0.06695831048531553
sz002222,2016-12-20,11.727044999999999,2017-01-03,11.49,-0.025847304244163705,9,bear,-0.03893054697887244,-0.024121812650498953
sz000555,2016-12-21,21.8750625,2017-01-05,21.69,-0.014161330967625618,10,bear,-0.030578546269114604,-0.011978215669907089
sz002602,2017-01-25,5.3606475,2017-02-09,5.54,0.027514866441040953,6,bear,-0.012891371968678067,0.008084730922397254
sh603667,2017-01-25,20.03454,2017-02-08,21.02,0.04315522093344781,5,bear,0.012368207689094746,0.029018076772637347
sz002805,2017-01-25,19.290284999999997,2017-02-09,20.97,0.08082501113902674,6,bear,0.04041877272930772,0.06139487562038304
sz000971,2017-04-26,9.001462499999999,2017-05-26,8.56,-0.05451141967208084,21,bear,-0.005908875450738482,0.021342816291102684
sh603703,2017-04-27,14.3118225,2017-06-15,12.17,-0.15454356005323577,32,bear,-0.1375646536584304,-0.08942436797448117
sh603777,2017-04-27,23.926792499999998,2017-05-09,22.94,-0.046755013234640486,7,bear,-0.024743182220876014,-0.01938194195053622
sz002823,2017-04-27,19.129364999999996,2017-05-15,21.4,0.11226640298828539,11,bear,0.15368704793771193,0.16557006900650906
sz000980,2017-04-27,14.060385,2017-06-06,13.38,-0.05386196750657968,25,bear,0.0064225765788942235,0.0341819063312333
sh600652,2017-04-27,9.464107499999999,2017-05-10,9.96,0.046345891569807396,8,bear,0.08665600991633882,0.092900700427195
sh603628,2017-05-04,26.099212499999997,2017-05-12,27.36,0.042279723957188375,6,bear,0.09131952452635717,0.09298389327282497
sh600390,2017-05-05,9.2629575,2017-06-08,8.16,-0.12413718836559495,22,bear,-0.0970577064118533,-0.06922720584458153
sz000885,2017-05-05,15.066135,2017-07-21,17.82,0.17598408616410244,2,bear,0.20546688835942817,0.2963002808370585
sz000933,2017-05-10,4.9382325,2017-05-26,4.88,-0.017474369625164465,11,bear,0.0012111588127071693,0.020057583831697423
sz002611,2017-05-10,9.132209999999999,2017-06-14,7.79,-0.15188026775555963,23,bear,-0.16134291886289576,-0.12059581880108616
sh600821,2017-05-22,4.06323,2017-06-08,4.01,-0.018775087799607793,11,bear,-0.027546498315402568,-0.01041820797615356
sz002917,2018-02-08,9.3635325,2018-03-02,9.97,0.058646669940004115,11,bear,-0.0008623364803932443,0.0228618027464369
sh603559,2018-02-09,18.717007499999998,2018-02-28,21.64,0.14951976163924718,8,bear,0.06393011182510189,0.0821413525132344
sz002238,2018-02-09,5.3807624999999994,2018-03-02,5.29,-0.022520971702430614,10,bear,-0.11936757761555294,-0.0938155969318375
sz002695,2018-02-09,13.7687175,2018-03-01,14.56,0.051389136279395675,9,bear,-0.05102875435088916,-0.027725157747306328
sh603368,2018-02-09,16.856370000000002,2018-03-01,18.21,0.07409201981209468,9,bear,-0.028325870818190158,-0.005022274214607325
sz002528,2018-02-09,4.1939775,2018-03-01,5.1,0.20903724447734873,9,bear,0.10661935384706389,0.12992295045064672
sh603042,2018-02-09,16.906657499999998,2018-03-01,18.06,0.062075989887415695,9,bear,-0.04034190074286914,-0.01703830413928631
sz002620,2018-02-09,7.854907499999999,2018-03-02,8.25,0.044259591853882396,10,bear,-0.052587014059239934,-0.027035033375524486
sz002826,2018-02-09,15.166709999999998,2018-02-28,15.23,-0.0016010393816455748,8,bear,-0.08719068919579087,-0.06897944850765836
sh600728,2018-02-09,6.6178349999999995,2018-03-01,7.44,0.11777038865429557,9,bear,0.01535249802401073,0.03865609462759356
sz000611,2018-02-09,5.531625,2018-03-01,6.73,0.20964499581949236,9,bear,0.10722710518920753,0.13053070179279036
sz002846,2018-02-09,8.408069999999999,2018-03-02,8.68,0.026405584159028272,10,bear,-0.07044102175409406,-0.04488904107037861
sz000721,2018-02-09,4.525874999999999,2018-03-02,4.93,0.0830286961084874,10,bear,-0.013817909804634931,0.011734070879080516
sh600318,2018-02-09,5.672429999999999,2018-03-01,5.63,-0.013187029192074595,9,bear,-0.11560491982235943,-0.0923013232187766
sz000025,2018-02-09,21.362129999999997,2018-03-01,22.69,0.056052579962766025,9,bear,-0.04636531066751881,-0.02306171406393598
sh600175,2018-02-12,4.1537475,2018-03-06,4.54,0.08670423515151082,11,bear,-0.0023706039559387992,0.028423781168673612
sz002824,2018-02-13,9.584797499999999,2018-03-01,9.92,0.029021218236483515,7,bear,-0.04326240328584885,-0.02359696589224125
sz002651,2018-02-14,5.662372499999999,2018-03-06,6.22,0.09216322310127079,9,bear,0.006320373684532754,0.03584527343736288
sz002137,2018-02-14,5.9842125,2018-03-02,6.12,0.016810482582294783,7,bear,-0.04777025683616354,-0.02624217445207555
sh603007,2018-02-14,5.853465,2018-02-23,7.45,0.26543209876543217,2,bear,0.24165184169880205,0.24743621874904176
sz002546,2018-02-14,3.5100675,2018-03-01,3.61,0.022556546277243905,6,bear,-0.0474315877319742,-0.028109633801172818
sh600295,2018-02-14,3.9324825,2018-03-06,3.94,-0.003849349615669073,9,bear,-0.0896921990324071,-0.06016729927957698
sz002322,2018-02-22,10.681064999999998,2018-03-01,11.47,0.06768824082617253,5,bear,0.01752285419772992,0.03325513186817064
sz000886,2018-02-23,5.4813374999999995,2018-03-02,5.84,0.05930714903068823,5,bear,0.01945437586945231,0.03469331953505583
sz002676,2018-02-23,5.923867499999999,2018-02-28,6.09,0.022133344474703387,3,bear,-0.007047401300231959,0.0012650851372073557
sz000615,2018-02-26,7.864965,2018-03-05,7.89,-0.0025851990441152495,5,bear,-0.024539856691802697,-0.008975337110831205
sh600992,2018-02-26,8.68968,2018-03-06,9.37,0.072090399186161,6,bear,0.03767259327152361,0.05659582702419974
sh600191,2018-02-26,6.859215,2018-03-02,6.97,0.010308395348447297,4,bear,-0.003854264818948794,0.007566453838764087
sz002288,2018-03-02,5.0991525,2018-03-16,5.31,0.035361758645186425,10,bear,0.001988918321490063,0.03076649306420265
sz002112,2018-04-12,7.7241599999999995,2018-05-09,7.49,-0.03589095772226358,17,bear,-0.027663074512586094,-0.005940988631304878
sz000820,2018-04-20,16.594875,2018-05-03,16.08,-0.036597744785664355,7,bear,-0.045534419923747405,-0.0407383980159145
sz002509,2018-04-20,4.857772499999999,2018-05-04,4.63,-0.05236865250482603,8,bear,-0.05952941009379542,-0.053672727582073754
sz000995,2018-05-04,6.648007499999999,2018-05-16,7.19,0.07530827845786892,8,bear,0.05052635396639649,0.07096364261082733
sh600614,2018-05-16,7.5732975,2018-05-23,7.74,0.016135309619092597,5,bear,0.002450100427490831,0.014085474364891493
sz002562,2018-05-16,6.7888125,2018-05-23,7.03,0.029572918680549787,5,bear,0.01588770948894802,0.027523083426348682
sz002808,2018-06-05,8.267265,2018-07-10,7.24,-0.1292924564532527,24,bear,-0.011032663795141895,0.020384528217299747
sz002163,2018-06-06,4.6666799999999995,2018-06-15,5.07,0.08017852091851174,7,bear,0.14401704482873434,0.14952776703635817
sz002554,2018-06-08,3.721275,2018-07-10,3.07,-0.1797576099589523,21,bear,-0.07596198457041525,-0.0509644667984227
sz002517,2018-06-12,8.488529999999999,2018-07-26,6.38,-0.2527192576335361,31,bear,-0.1752956420349452,-0.13233590766666692
sz002927,2018-06-12,18.58626,2018-06-21,20.01,0.07041128769316707,6,bear,0.20155932929897546,0.21366769254375595
sz000957,2018-06-13,7.472722499999999,2018-07-11,6.15,-0.18173898468730765,19,bear,-0.071736932123446,-0.04586521099544927
sh600378,2018-06-14,10.2083625,2018-07-13,8.61,-0.16142353878988924,20,bear,-0.08181931069758441,-0.05009781749287412
sz002356,2018-06-19,11.42532,2018-07-10,11.0,-0.04276204080060775,15,bear,-0.055989339614189504,-0.045123121830554336
sz002605,2018-06-20,6.8290425,2018-06-21,7.48,0.08902382727886082,1,bear,0.1173786132382657,0.11576690273253809
sz002108,2018-06-22,4.18392,2018-06-26,4.28,0.01708206657871103,2,bear,0.008132733645051182,0.009965179443258032
sz002028,2018-06-22,15.438262499999999,2018-07-10,15.34,-0.012078269818251886,12,bear,-0.0262433013278206,-0.013477258264879555
sz000905,2018-06-26,7.764389999999999,2018-07-13,7.04,-0.0985099924140852,13,bear,-0.10841899609201444,-0.09032552615360567
sz000892,2018-06-26,4.747139999999999,2018-07-04,5.4,0.13098623592310332,6,bear,0.1347418023763749,0.1399185934175725
sh603008,2018-06-26,18.415282499999996,2018-07-26,16.1,-0.13075322086424657,22,bear,-0.1660730096675811,-0.13429366538457566
sz002849,2018-06-28,11.767274999999998,2018-07-09,12.65,0.06883390589580007,7,bear,0.05741015510649583,0.0646290022338536
sh603505,2018-06-28,3.9827699999999995,2018-07-10,4.1,0.023515041039276596,8,bear,0.0023255823952452737,0.013391444428438426
sz002788,2018-06-28,7.100594999999999,2018-07-10,7.02,-0.01703519212122362,8,bear,-0.03822465076525494,-0.02715878873206179
sz000626,2018-06-29,6.6077775,2018-07-10,7.12,0.07132239243830463,7,bear,0.0806266861775069,0.08876638437130746
sh603555,2018-07-03,11.153767499999999,2018-07-19,10.56,-0.05867860344049658,12,bear,-0.03922030411258526,-0.020033688943862926
sz002388,2018-07-05,5.7629475,2018-07-10,5.99,0.03342213337879629,3,bear,-0.004292686556159442,0.0016943086038405664
sz000503,2018-07-05,31.077674999999996,2018-07-16,31.0,-0.008235011145460436,7,bear,-0.051196635796654344,-0.03635517440405811
sh600099,2018-07-11,6.245707499999999,2018-07-26,6.64,0.057017159385065685,11,bear,0.00047847464264139106,0.019053131546648894
sh603843,2018-07-17,5.6221425,2018-07-27,6.84,0.20962248822401763,8,bear,0.19406306832464182,0.20390954913175552
sz002916,2018-08-08,26.290305,2018-08-15,29.19,0.10391102347424264,5,bear,0.09236423336368782,0.10315507443033156
sz002864,2018-08-10,30.916754999999995,2018-08-15,32.18,0.03487461733936836,3,bear,0.05196618518807461,0.057429100640069675
sz002675,2018-08-13,8.3778975,2018-08-27,8.44,0.0016200365306451303,10,bear,0.022160204322339006,0.03060774595012017
sz002903,2018-08-13,26.390879999999996,2018-08-24,26.29,-0.0095505530698482,9,bear,0.030567540118528802,0.03622699422709985
sh603626,2018-08-15,12.9238875,2018-08-24,12.58,-0.03220567340902647,7,bear,-0.011723225790816305,-0.008446738921641495
sz000678,2018-08-17,5.31036,2018-08-24,5.16,-0.033901656384877965,5,bear,-0.042474100969875694,-0.03704937361117944
sz002507,2018-08-22,16.715564999999998,2018-08-29,17.15,0.020090406755619572,5,bear,-0.00044999222212815937,0.00741541461661166
sh603165,2018-08-22,8.8606575,2018-08-29,8.86,-0.005823777750127657,5,bear,-0.026364176727875388,-0.01849876988913557
sh600158,2018-08-24,8.60922,2018-08-29,8.77,0.012817944018157279,3,bear,-0.003709644974874582,0.0018036933221916573
