cfg,n,wr,med,mean,ann,sharpe,pf,hold,ex_b,ex_m,max_dd,gate,yearly
E3_唐奇安55_X1_rsi75_kh,10353,50.89,0.179,-0.875,-7.05,-0.188,0.79,30.3,-2.147,4.368,100.0,0,"{2016: np.float64(-2.58), 2017: np.float64(-5.84), 2018: np.float64(-5.05), 2019: np.float64(-2.48), 2020: np.float64(-0.51), 2021: np.float64(-1.57), 2022: np.float64(0.11), 2023: np.float64(-1.52), 2024: np.float64(2.88), 2025: np.float64(1.38), 2026: np.float64(-3.25)}"
E3_唐奇安55_X1_rsi75_pure,63233,47.0,-0.361,-0.111,-1.27,-0.022,1.1,22.0,-0.853,3.901,100.0,0,"{2016: np.float64(1.96), 2017: np.float64(-0.18), 2018: np.float64(-2.08), 2019: np.float64(-0.61), 2020: np.float64(0.01), 2021: np.float64(-1.31), 2022: np.float64(-0.1), 2023: np.float64(-1.84), 2024: np.float64(1.18), 2025: np.float64(0.77), 2026: np.float64(-2.59)}"
E3_唐奇安55_X2_tp8_kh,10455,53.48,0.683,-0.808,-7.46,-0.207,0.72,26.4,-1.96,3.736,100.0,0,"{2016: np.float64(-2.35), 2017: np.float64(-5.29), 2018: np.float64(-4.99), 2019: np.float64(-1.86), 2020: np.float64(-0.26), 2021: np.float64(-1.41), 2022: np.float64(0.26), 2023: np.float64(-1.57), 2024: np.float64(2.2), 2025: np.float64(0.95), 2026: np.float64(-2.72)}"
E3_唐奇安55_X2_tp8_pure,67386,49.69,-0.041,-0.653,-8.34,-0.222,0.84,18.9,-1.293,2.817,100.0,0,"{2016: np.float64(-0.79), 2017: np.float64(-2.3), 2018: np.float64(-2.4), 2019: np.float64(-0.65), 2020: np.float64(-0.39), 2021: np.float64(-1.46), 2022: np.float64(-0.09), 2023: np.float64(-1.89), 2024: np.float64(0.83), 2025: np.float64(0.48), 2026: np.float64(-2.35)}"
E3_唐奇安55_X3_tp8sl7_kh,10619,39.64,-1.952,-1.505,-54.2,-1.392,0.96,4.9,-1.622,-0.348,100.0,0,"{2016: np.float64(-1.84), 2017: np.float64(-1.8), 2018: np.float64(-4.21), 2019: np.float64(-1.34), 2020: np.float64(-0.96), 2021: np.float64(-1.25), 2022: np.float64(-1.46), 2023: np.float64(-1.83), 2024: np.float64(-2.76), 2025: np.float64(-0.53), 2026: np.float64(-1.37)}"
E3_唐奇安55_X3_tp8sl7_pure,71416,40.8,-1.143,-0.994,-46.1,-1.07,1.03,4.1,-1.045,0.054,100.0,0,"{2016: np.float64(-0.53), 2017: np.float64(-0.62), 2018: np.float64(-2.78), 2019: np.float64(-0.65), 2020: np.float64(-1.11), 2021: np.float64(-1.21), 2022: np.float64(-1.53), 2023: np.float64(-1.68), 2024: np.float64(-1.16), 2025: np.float64(-0.71), 2026: np.float64(-1.27)}"
E3_唐奇安55_X4_ma5_kh,10661,33.05,-2.256,-1.496,-81.0,-2.329,1.13,2.3,-1.583,-0.941,100.0,0,"{2016: np.float64(-1.49), 2017: np.float64(-1.46), 2018: np.float64(-3.08), 2019: np.float64(-1.54), 2020: np.float64(-0.95), 2021: np.float64(-1.24), 2022: np.float64(-1.51), 2023: np.float64(-1.54), 2024: np.float64(-2.74), 2025: np.float64(-1.0), 2026: np.float64(-0.91)}"
E3_唐奇安55_X4_ma5_pure,73709,33.39,-1.766,-0.612,-53.79,-0.527,1.58,2.0,-0.651,-0.063,100.0,0,"{2016: np.float64(1.91), 2017: np.float64(1.5), 2018: np.float64(-1.57), 2019: np.float64(-0.98), 2020: np.float64(-0.73), 2021: np.float64(-0.96), 2022: np.float64(-1.62), 2023: np.float64(-1.41), 2024: np.float64(-1.13), 2025: np.float64(-1.02), 2026: np.float64(-1.06)}"
E4_动量10_X1_rsi75_kh,17837,50.56,0.116,-0.682,-4.76,-0.12,0.86,35.4,-2.326,5.328,100.0,0,"{2016: np.float64(-1.99), 2017: np.float64(-6.93), 2018: np.float64(-4.07), 2019: np.float64(-1.97), 2020: np.float64(-0.73), 2021: np.float64(-1.19), 2022: np.float64(2.23), 2023: np.float64(-2.05), 2024: np.float64(2.84), 2025: np.float64(2.03), 2026: np.float64(-5.15)}"
E4_动量10_X1_rsi75_pure,141405,48.25,-0.212,-0.249,-2.21,-0.057,1.01,28.2,-1.478,4.591,100.0,0,"{2016: np.float64(-1.21), 2017: np.float64(-3.8), 2018: np.float64(-2.18), 2019: np.float64(-0.12), 2020: np.float64(0.07), 2021: np.float64(-0.89), 2022: np.float64(1.66), 2023: np.float64(-2.01), 2024: np.float64(1.99), 2025: np.float64(1.66), 2026: np.float64(-2.62)}"
E4_动量10_X2_tp8_kh,18327,54.84,1.033,-0.61,-5.19,-0.139,0.72,29.0,-2.033,4.27,100.0,0,"{2016: np.float64(-1.87), 2017: np.float64(-5.95), 2018: np.float64(-3.79), 2019: np.float64(-1.39), 2020: np.float64(-0.44), 2021: np.float64(-0.81), 2022: np.float64(1.71), 2023: np.float64(-1.83), 2024: np.float64(2.12), 2025: np.float64(1.46), 2026: np.float64(-4.23)}"
E4_动量10_X2_tp8_pure,158997,52.35,0.318,-0.321,-3.37,-0.092,0.84,23.6,-1.34,3.759,100.0,0,"{2016: np.float64(-1.12), 2017: np.float64(-3.49), 2018: np.float64(-2.21), 2019: np.float64(-0.18), 2020: np.float64(-0.04), 2021: np.float64(-0.76), 2022: np.float64(1.39), 2023: np.float64(-1.85), 2024: np.float64(1.48), 2025: np.float64(1.19), 2026: np.float64(-2.22)}"
