date,code,netbuy_T,netbuy_T1,vwap_T1,vwap_pos,r1,r2,r3,q
2026-08-27,600487,0.18132052772876706,-0.06974544996708437,70.41100559742245,-0.024300301276238168,-0.03646572219117916,-0.019213970210489095,-0.01979622519308366,1
2026-08-27,600183,0.06537283319058865,0.07080569192131864,146.65451731455346,-0.0068495907010796,0.03319850064024776,0.05320975162901864,-0.008444873182852586,4
2026-08-27,600522,0.18323488733343257,-0.10283796115059572,35.635861379555124,-0.016720809907786682,-0.02882485761495157,0.003995416266852958,-0.029395050430427228,1
2026-08-27,600176,0.16999524629407592,0.005465595204618537,43.38021611597495,-0.004154321236060743,0.013133240649786826,0.016898137253335,-0.004166673657334807,3
2026-08-27,601138,0.09639881321718356,-0.004158843505853753,65.29697889833697,-0.01925017059007672,0.0028186705833919135,0.012492120720274835,-0.017176800017060123,2
2026-08-27,001309,0.23166895455263686,-0.08971150527024103,437.3237622101473,-0.018964813137377745,-0.0016986480122388459,0.01741137272908011,-0.025615901605119507,1
2026-08-27,002428,0.10591161383170401,-0.05277067997094249,102.14480394500579,-0.024326252407652738,-0.016771871921916426,0.010435412882974004,-0.047762411813358385,1
2026-08-27,002491,0.053878939037595025,-0.1057163011281796,22.79470832448259,-0.024773678794553278,-0.059644665136054265,-0.0004498528604481855,-0.04858299351981932,1
2026-08-27,002837,0.0707612932708307,-0.13957225729936076,65.3020842310232,-0.012588891821297521,-0.02258599115050386,0.057847325269066996,0.022022302962436457,0
2026-08-27,000636,0.020946490586483946,-0.02382072089738913,55.92854280937688,-0.00855631172205673,0.02476437141883059,0.007754739391512722,-0.06456270120463936,2
2026-08-27,600498,0.27421410047350536,-0.17627049280778967,42.09227392101625,-0.021673184431715398,-0.03582296446016808,0.031083020150827867,-0.010684765018170284,0
2026-08-27,601869,-0.041425438561129554,-0.02352546587154444,430.6394517141251,-0.01922598203580006,-0.01044942105834401,-0.008973335919095327,-0.05286955996477427,2
2026-08-27,600206,0.1140643136359661,-0.06811833793006569,53.2362113246916,-0.02979569280650507,-0.03727865690805743,0.0013552699468779572,-0.053823862766029906,1
2026-08-27,000657,0.1797626708017664,-0.09317130029714477,67.43196661025195,-0.00996507306253347,-0.011548693644118035,-0.014379854010694637,-0.06635710250781479,1
2026-08-27,002281,0.08476342023943517,-0.019687770451873164,177.2450769381315,-0.020508757651129472,-0.01570475221554357,0.03623059307654741,0.04095386547638569,2
2026-08-27,600460,0.07134460059853517,-0.07034164148803061,34.674855701034616,-0.014559758703602599,-0.020355587082219295,-0.0002926052697974635,-0.05326309020637543,1
2026-08-27,000977,0.16406445016840288,-0.08220345322354397,78.29036098326789,-0.010861599450836312,-0.010604244758629089,0.09994831637080437,0.1053718462740103,1
2026-08-27,603629,0.11177854218898231,-0.19970960006864868,122.27463668800712,-0.01901162663599998,-0.04208596247473628,0.018424399917415624,-0.053105421252625074,0
2026-08-27,002436,0.16832217717549017,-0.016316071314233675,36.651183399381885,-0.02376961776627662,0.002240840746436934,0.006428159588686588,-0.03437673516489981,2
2026-08-27,600330,0.008743855185723171,-0.05957146517115616,29.241546943041506,-0.010312259114446332,-0.00720408532489869,-0.01796822557593658,-0.06772636336045301,1
2026-08-27,000506,-0.02911527096454517,-0.028487327557868654,21.236917022710248,0.009091869703076627,-0.029438388622112566,-0.05272986710328309,-0.06346246341504225,2
2026-08-27,600172,0.0325338007509436,-0.03630505022326752,14.54442203910109,-0.008554617190882463,-0.01300476282328078,0.0027739224439247145,0.015256606509349568,2
2026-08-27,002437,0.015833422965901112,-0.05558307307476847,4.422353811530299,0.09896230393032779,0.09954752253972532,-0.10082309351728125,-0.10493831581709034,1
2026-08-27,002008,0.05651072331286101,-0.05979149036930705,88.96698036880446,-0.015140197145487644,-0.02644441392686636,0.09997710833417717,0.07966212632664349,1
2026-08-27,000831,0.20244437665556578,0.023096793322369826,60.611714707637454,-0.0071226231520434835,-0.010360155466004328,0.031239632080120483,-0.006148204220812303,3
2026-08-27,002552,-0.07943196821031484,-0.04401921086103043,54.51603434714547,-0.02432377439621891,-0.05017859595162533,-0.00676812944066385,-0.059033642991517365,2
2026-08-27,002409,0.12619041754395746,-0.033533660441265004,144.67462282743998,-0.018072452637148406,-0.01285529884259684,0.0021821593968835984,-0.055117569798810884,2
2026-08-27,002975,0.06025079849818753,-0.0206289833539357,106.3506225126064,-0.03263380295472218,-0.04793633557475341,0.04879475511741571,-0.012441668093593816,2
2026-08-27,603738,0.10824977886338362,-0.023106533881755736,41.36496718430944,-0.027679605268504215,-0.04442857983144455,-0.020636544153744274,-0.06936849405392853,2
2026-08-27,002080,-0.05669719714469051,-0.053910349669149184,53.03154578409514,-0.011720305857451319,-0.0013338356599619239,0.017935482340120545,-0.029765338252868645,1
2026-08-27,002412,-0.022667948280151944,-0.037870968844582124,13.359276122705637,-0.01716230775970251,-0.0634807642128079,-0.09977154670211363,-0.15003809976072435,2
2026-08-27,000811,0.10464436164998836,-0.12805564729122718,41.155687153727946,-0.025651100798379622,-0.06613880399198224,0.041396506498208696,-0.03266826953719637,0
2026-08-27,000703,0.09659957204571762,0.0067208574461171755,19.39568178189366,0.004862834433206231,0.01510411440912418,0.0015392861466301255,-0.02616727731508728,3
2026-08-27,600601,0.127400540102635,0.02725737553372336,12.614752374761954,-0.022572971913867867,-0.008045082784759572,0.03730738369775355,-0.004866136765096507,3
2026-08-27,605358,0.04433575577134809,-0.10662065084306402,44.08337167476289,-0.019358141179003807,-0.030282688052245432,0.01156604222286628,-0.025907909871488943,1
