code,buy,gap,f_aro,f_mom,f_m200,f_r20,f_vpc,f_amt20,f_adx,f_dh,amt20_T1,rp,amt_c,base_net,base_why,base_sell,tp4_tp_t2,tp4_tp_t1,tp5_tp_t2,tp5_tp_t1,tp6_tp_t2,tp6_tp_t1,tp7_tp_t2,tp7_tp_t1,tp8_tp_t2,tp8_tp_t1,tp9_tp_t2,tp9_tp_t1,tp10_tp_t2,tp10_tp_t1,tp12_tp_t2,tp12_tp_t1,s_zt,s_lb,s_zpl,s_gate,E0_sell,year
sh600017,2019-06-20,-0.03389830508474578,-28.0,-0.21345029239766078,0.09926963779997022,0.08455882352941169,1,51159541.4,16.610742246117017,0.1087613293051359,51159541.4,0.48571428571428604,343274156.0,-0.014935723684210589,ts,2019-06-21,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,-0.014935723684210589,1.0,1.0,0.0,1.0,2019-06-21,2019
sh600018,2018-01-05,-0.04355400696864109,68.0,0.47837150127226447,0.14478315932230434,-0.003472222222222099,0,304734548.15,27.670461955657622,0.12898330804248856,304734548.15,0.4516129032258066,603649390.0,-0.015068399931694065,ts,2018-01-08,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,-0.015068399931694065,1.0,1.0,0.0,1.0,2018-01-08,2018
sh600020,2019-05-06,-0.031531531531531654,96.0,0.4300791556728232,0.2739036251739424,-0.1777777777777778,0,330292695.95,21.272568082443254,0.23972602739726018,330292695.95,0.4814814814814816,348306353.0,0.050603477470930525,ts,2019-05-07,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.047844781250000024,0.047844781250000024,0.050603477470930525,0.050603477470930525,0.050603477470930525,0.050603477470930525,0.050603477470930525,0.050603477470930525,0.050603477470930525,0.050603477470930525,0.050603477470930525,0.050603477470930525,1.0,1.0,0.0,0.0,2019-05-07,2019
sh600021,2026-07-21,-0.021406727828746308,76.0,0.9116279069767443,-0.1796122350674373,-0.0006112469437651313,0,778011848.25,26.82439039797266,0.24896646761598523,778011848.25,0.34777376654632985,2409069099.0,-0.03309134277343739,ts,2026-07-22,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,-0.03309134277343739,1.0,1.0,0.0,0.0,2026-07-22,2026
sh600025,2018-05-16,-0.027972027972028024,60.0,,,-0.03050847457627126,0,137879202.85,35.70246345309976,0.15384615384615385,137879202.85,0.33333333333333315,494669093.0,-0.039914174910071765,ts,2018-05-17,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,-0.039914174910071765,1.0,1.0,0.0,1.0,2018-05-17,2018
sh600032,2026-07-21,-0.02313624678663251,68.0,0.00910273081924573,-0.07642631591443283,0.009079118028534339,1,242492308.35,30.85150092958068,0.3516666666666666,242492308.35,0.2368896925858952,707828877.0,0.03275664884868412,ts,2026-07-22,0.02807412500000006,0.02807412500000006,0.03795945312500004,0.03795945312500004,0.0478447812499998,0.0478447812499998,0.03275664884868412,0.03275664884868412,0.03275664884868412,0.03275664884868412,0.03275664884868412,0.03275664884868412,0.03275664884868412,0.03275664884868412,0.03275664884868412,0.03275664884868412,2.0,1.0,0.0,0.0,2026-07-22,2026
sh600067,2025-03-05,-0.027237354085603016,-84.0,-0.047210300429184504,0.1969912205118649,0.16289592760180982,1,51432396.45,18.41607152184827,0.16558441558441567,51432396.45,0.42045454545454514,189962707.0,-0.03914610624999981,ts,2025-03-06,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,-0.03914610624999981,1.0,1.0,0.0,0.0,2025-03-06,2025
sh600071,2024-01-30,-0.02195608782435121,56.0,-0.09277003484320567,-0.0031536953948089197,-0.12527280663465745,0,179516372.45,23.873665652596753,0.2110236220472441,179516372.45,0.3716295427901523,331733144.0,-0.06694606983418372,ts,2024-01-31,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,-0.06694606983418372,1.0,1.0,0.0,0.0,2024-01-31,2024
sh600071,2025-01-06,-0.026280018124150484,40.0,-0.07235142118863047,0.17106767731169126,-0.004959422903516697,0,236200519.9,19.937928693374705,0.24001377410468316,236200519.9,0.2639915522703274,313690421.0,0.005092692095160611,ts,2025-01-07,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,0.005092692095160611,1.0,1.0,0.0,0.0,2025-01-07,2025
sh600072,2026-07-13,-0.023569023569023684,96.0,-0.16263552960800676,-0.2557323643653676,-0.06993736951983298,0,215841496.7,40.81283832400722,0.36357142857142855,215841496.7,0.13728813559322042,302170740.0,-0.07850561961206881,ts,2026-07-14,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,-0.07850561961206881,1.0,1.0,0.0,0.0,2026-07-14,2026
