date,code,active,netbuy_T,vwap_pos,r1,r3
2026-07-08,002622,False,-0.09558405457089607,0.005071919683152126,-0.009569369257348859,-0.009569369257348859
2026-07-08,600177,False,0.10732365395390465,-0.002800552579980131,0.002597400184666032,0.0
2026-07-08,600320,False,-0.08206053392377625,-0.017074643024586167,-0.010025053072035384,-0.01754384287606181
2026-07-08,601869,False,-0.10086100104222943,-0.02308801795068882,0.07625833607164134,-0.06859348203954208
2026-07-08,600601,False,-0.04082565086560602,-0.03178055080510778,0.04360901619460855,-0.08421051650354894
2026-07-08,002839,False,0.07738662374960213,0.003733658638767734,-0.012077225968644578,0.009661826846140142
2026-07-08,002605,False,-0.05662065033444093,0.009290891667889767,-0.018574339247805716,0.035642524184404945
2026-07-08,000973,False,-0.1165707997912163,-0.053931039717985074,-0.047981729546827445,-0.11043410484592209
2026-07-08,600675,False,0.3432874931225356,0.0012291074857584405,-0.004784684628674429,0.009569369257348859
2026-07-08,600037,False,0.20692836501487372,-0.0005264220060697822,-0.014354091365498145,-0.007974512103184228
2026-07-08,002713,False,-0.015815849475076138,0.008758846387056929,-0.044776138148302835,-0.09657597439095678
2026-07-08,002917,False,-0.17948227641303313,-0.00656976967145062,-0.015640259488920005,-0.05474090821122013
2026-07-08,605166,False,-0.13007886571332286,-0.011886092094200662,-0.015222495904169797,-0.05386417332572924
2026-07-08,603383,False,0.010275930264520736,0.007898617401022712,0.004469233898692249,-0.032774713430639646
2026-07-08,600868,False,0.06774389740995046,-0.003030895803031175,0.012448120465286205,0.004149373488428809
2026-07-08,605598,False,-0.09898752451392398,-0.039010889666300175,0.041985868435152396,0.03156600507449414
2026-07-08,605318,False,-0.2009207304666496,-0.0191673825979658,0.02149699634013391,-0.06538199150144242
2026-07-08,600104,False,-0.05525572832905648,-0.027403455859472348,-0.010235453099724512,-0.007164856214813109
2026-07-08,603301,False,0.22505473017163213,0.005327195590610456,-0.019935414826550035,-0.028845126861305914
2026-07-08,600379,False,-0.15433032454360313,-0.044634028740375364,-0.024326093664110093,-0.10913871421754096
2026-07-08,002609,False,0.015677460059152715,0.002013841573687447,-0.00965519609122445,-0.0193103264118063
2026-07-08,002236,False,0.15165191535734943,-0.00655641908640292,0.017099111508375398,-0.010023477483613208
2026-07-08,603773,False,-0.005848960857930218,-0.023274184978009926,0.026395322832738044,-0.11718561449232046
2026-07-08,600773,False,0.10885441353741945,-0.015257070144643503,0.07279998779296881,-0.0831999969482422
2026-07-08,002594,False,0.067323303184838,0.0012372279367249828,-0.010517870768333326,-0.009260289782664799
2026-07-08,002371,False,0.04035876241078355,0.0033503203428841832,0.09486237991919633,-0.04738759994038899
2026-07-08,605118,False,0.009135557268578225,-0.016975861753928068,-0.05366378248805559,-0.1460092300920287
2026-07-08,600885,False,-0.08990720795574861,-0.01252032168395989,0.0234462706378884,-0.026836178587307802
2026-07-08,000783,False,-0.051625823989301024,-0.018527120463426416,0.052868312171383325,-0.012373521496451212
2026-07-08,601567,False,-0.022347304410987943,-0.0015337310976237806,-0.02173914395568488,-0.01956525029216638
2026-07-08,002972,False,-0.011742023750175044,-0.024820947984326658,0.024433839727933337,0.054827177511746816
2026-07-08,601100,False,-0.1564234161086819,-0.025585120692002472,-0.008054835009490335,-0.018609407429649893
2026-07-08,002235,False,-0.0467365287137756,0.004905799011468037,0.03333332967940872,0.054023020383089815
2026-07-08,002780,False,0.014458797882312012,-0.004586224200059497,0.012955452831578729,-0.020242914354489105
2026-07-08,003816,False,0.23618982729466856,-0.018239793861630105,0.010554079750826784,0.021108159501653567
2026-07-08,600562,False,0.004541935150518161,-0.05177297860810992,0.020019069850235827,-0.05052428451241964
2026-07-08,001269,False,-0.21107431784517655,-0.03558289165438222,0.0005203032902756366,-0.07023925714623125
2026-07-08,000631,False,-0.08203061020133927,-0.009227795354070367,0.007117431079635805,-0.01779357769908929
2026-07-08,600326,False,-0.18918589652486165,-0.006667115624974129,-0.004754315886408178,-0.030110944365042913
2026-07-08,002179,False,-0.009874368986246395,-0.03150196116751214,-0.026443476960413825,-0.14531784330608566
2026-07-08,603126,False,-0.0886568443092059,-0.004080446353922018,-0.0033670001235441838,-0.02525254106438879
2026-07-08,600782,False,0.013857273713670548,-0.0042175150307172116,-0.011718739086063357,0.01562498544808455
2026-07-08,600801,False,-0.13901398540879142,-0.019671031973247155,-0.018012753191955277,0.09761768707422669
2026-07-08,002869,False,0.048469887130164604,-0.005618977631650424,-0.007184886174831151,-0.05486610905063061
2026-07-08,603106,False,0.018137797817347166,0.006676611252518505,-0.019005864260358662,-0.07602338732840141
2026-07-08,002893,False,-0.17385000874309037,-0.004679428111784456,0.03246755391407974,-0.007575724735732092
2026-07-08,002511,False,0.038211466908243376,0.005826197641809694,-0.014204531985004043,-0.002840906397000853
2026-07-08,601997,False,0.04831298252474269,0.005973781383589172,-0.003787875024959475,0.009469642407366585
2026-07-08,000753,False,0.14818167117453243,0.00034980040515453226,0.004608290374042534,-0.01152078087026076
2026-07-08,003011,False,-0.10647269234064291,-0.01246019672370624,0.011481633349420761,-0.054674682883752435
2026-07-08,605358,False,0.01828555724696983,-0.00864403815876924,0.09998267846378761,-0.009859880319732506
2026-07-08,002960,False,0.07577543612077889,0.004329066554772831,-0.008383310814437883,-0.02634733616504159
2026-07-08,600820,False,0.41151770847403,-0.01256266913926063,-0.003787875024959475,0.011363625074878314
2026-07-08,001393,False,-0.059212691900732986,0.006646939966155507,-0.027973446354612408,-0.06651469531942322
2026-07-08,002821,False,0.006941664466728275,-0.025219690257468064,0.07824514842343522,0.10566443643912748
2026-07-08,000034,True,0.08828508279386497,0.0076903374805290525,0.009453797717525969,-0.03361341395042561
2026-07-08,603017,False,-0.16395964434098828,-0.005194572850669266,0.0010776109018952873,-0.029094774984751992
