sym,close,amt20_wan,volbr,ret20_pct,comp_prov,rank_prov
sz301177,23.39,8688.1,0.27,-18.59,4.5717,1
sh603639,10.43,2299.2,0.306,-3.96,4.1941,2
sh600984,3.46,15947.2,0.345,-25.75,4.1808,3
sh605339,13.04,3262.3,0.34,-9.13,4.1298,4
sz301665,22.34,5557.3,0.276,-7.03,3.9465,5
sz301260,11.85,3072.3,0.456,-12.87,3.8937,6
sz301552,24.49,3664.5,0.325,-5.63,3.841,7
sh603035,10.35,3867.1,0.374,-8.41,3.7419,8
sh603429,8.6,2291.2,0.363,-2.16,3.713,9
sh603167,8.08,2418.1,0.353,-1.34,3.6588,10
sz002014,10.9,3363.0,0.3,-0.55,3.6568,11
sh603959,4.39,3714.6,0.362,-5.79,3.6243,12
sz002327,6.12,2825.2,0.381,-3.77,3.5809,13
sz301276,17.47,5012.7,0.54,-17.67,3.5534,14
sz002686,6.17,11551.2,0.317,-12.61,3.539,15
sz001230,19.35,11352.6,0.38,-16.74,3.5248,16
sz002198,3.63,2478.8,0.311,3.42,3.5048,17
sz001277,30.63,8734.9,0.265,-4.58,3.4658,18
sh603013,14.38,5533.6,0.412,-10.79,3.4561,19
sh600861,12.71,2590.3,0.418,-3.42,3.4344,20
sz000521,4.4,4096.9,0.452,-9.84,3.434,21
sh603706,17.11,2623.4,0.634,-13.19,3.3884,22
sz300856,10.44,3551.8,0.439,-6.95,3.3745,23
sz000529,4.96,3021.2,0.384,-1.78,3.3506,24
sz000545,2.17,15389.2,0.384,-17.8,3.3469,25
sz301289,44.48,3809.2,0.415,-5.48,3.3103,26
sh600731,5.88,4126.9,0.322,0.0,3.3022,27
sz301397,23.28,7810.1,0.319,-5.94,3.294,28
sz002275,12.23,2488.8,0.427,-1.45,3.2656,29
sh688648,29.39,5819.3,0.453,-11.21,3.2622,30
sz300076,4.27,2012.0,0.627,-8.57,3.2463,31
sz300268,12.0,4172.1,0.495,-9.84,3.2383,32
sh603611,15.71,3007.6,0.561,-9.61,3.2319,33
sh603855,16.76,3186.7,0.308,4.68,3.2222,34
sz002749,8.45,3194.0,0.386,-0.47,3.1888,35
sh603515,14.66,2523.7,0.674,-11.85,3.1877,36
sh605099,29.08,4398.9,0.487,-9.12,3.1698,37
sz301586,29.8,3502.7,0.43,-3.78,3.1676,38
sz002427,4.56,11539.8,0.284,-5.2,3.1584,39
sh600650,10.31,5673.8,0.363,-4.18,3.1537,40
sz000695,12.91,9776.5,0.496,-17.14,3.1458,41
sz300193,7.95,3079.1,0.401,-0.25,3.1228,42
sz300945,11.68,21858.3,0.264,-9.32,3.1221,43
sz300854,15.49,8655.4,0.414,-11.03,3.1095,44
sh601163,12.43,3807.8,0.432,-3.94,3.1051,45
sz002253,9.24,4222.3,0.427,-4.64,3.0992,46
sh603312,31.8,2375.9,0.453,-0.38,3.0955,47
sh600694,14.41,7595.3,0.303,-1.71,3.0772,48
sh603199,32.8,7534.2,0.341,-4.18,3.0492,49
sh603053,8.68,2052.5,0.514,-1.36,3.0427,50
sz002538,6.73,4917.4,0.501,-9.3,3.0381,51
sh688701,8.7,2226.2,0.566,-4.4,3.0323,52
sh603176,5.3,2506.3,0.455,-0.19,3.0318,53
sz002267,7.12,8198.4,0.289,-0.56,3.0173,54
sz002889,11.96,2589.8,0.586,-6.56,3.0167,55
sz300388,6.73,3403.8,0.481,-4.4,3.0165,56
sz301168,39.75,2980.7,0.504,-4.22,3.0165,57
sz300386,10.93,16429.2,0.352,-12.14,3.0071,58
sz001213,3.49,2253.8,0.529,-2.51,3.0038,59
sh600987,6.33,2941.6,0.519,-4.52,2.9935,60
sz300301,3.43,3027.7,0.341,5.54,2.9883,61
sh603032,18.36,13430.6,0.332,-8.43,2.9858,62
sh605266,15.76,2788.0,0.575,-6.3,2.9749,63
sz300125,8.89,7627.6,0.468,-11.1,2.9692,64
sz002293,10.78,4233.1,0.443,-3.84,2.9627,65
sz300929,16.22,6781.0,0.371,-4.02,2.954,66
sh603408,11.69,3518.5,0.385,1.56,2.949,67
sz000931,4.57,21564.7,0.38,-15.84,2.9376,68
sz002193,4.66,2456.1,0.609,-5.86,2.9274,69
sh603967,11.54,2716.9,0.508,-2.29,2.9152,70
sz002857,17.77,3542.4,0.625,-9.93,2.9126,71
sh603398,8.63,6975.6,0.519,-11.94,2.9041,72
sh600182,12.68,2094.9,0.68,-6.7,2.9006,73
sh601065,6.73,3001.8,0.503,-2.75,2.8921,74
sz002200,6.5,2698.7,0.622,-6.88,2.892,75
sh603811,6.96,3472.7,0.559,-6.58,2.8767,76
sh600548,8.04,4484.2,0.434,-2.78,2.8686,77
sz002122,2.74,3015.3,0.491,-1.79,2.8619,78
sh603767,13.4,4363.8,0.515,-6.62,2.8615,79
sh603569,5.78,2102.1,0.699,-6.77,2.8484,80
sh603758,11.03,14850.1,0.415,-13.01,2.8337,81
sh600927,12.34,8679.2,0.381,-5.66,2.832,82
sh603329,10.09,2868.6,0.536,-2.98,2.8215,83
sh605286,25.3,11284.8,0.442,-11.72,2.821,84
sh603036,13.66,9610.9,0.468,-11.47,2.8156,85
sz300906,28.81,3696.4,0.642,-9.83,2.8148,86
sh688269,27.37,4805.8,0.623,-11.4,2.7917,87
sz002207,5.45,4342.8,0.522,-6.03,2.7909,88
sh603006,10.8,3210.0,0.569,-5.18,2.7907,89
sz002880,21.87,7882.9,0.478,-9.7,2.7878,90
sz002853,21.73,3263.8,0.518,-2.99,2.7874,91
sz300923,23.96,3345.2,0.539,-4.16,2.7841,92
sz300092,11.24,3179.4,0.605,-6.41,2.7787,93
sz000590,9.05,2798.0,0.585,-4.33,2.7785,94
sh603190,16.38,2996.4,0.513,-1.8,2.7781,95
sz300138,11.45,8139.6,0.325,-0.35,2.7698,96
sh600612,31.95,7555.3,0.462,-8.22,2.7696,97
sz002737,11.38,6273.3,0.63,-13.92,2.763,98
sz002175,2.51,3732.0,0.525,-4.2,2.7525,99
sh603079,13.28,8813.5,0.396,-5.68,2.7491,100
sh603071,12.3,3012.1,0.557,-3.45,2.7454,101
sz301004,32.93,2017.7,0.794,-8.17,2.7414,102
sz300961,12.01,16788.6,0.298,-4.98,2.741,103
sz003042,14.3,8243.9,0.311,1.06,2.7338,104
sh603970,11.06,5620.4,0.361,1.19,2.7324,105
sh603717,5.87,5539.9,0.583,-10.38,2.7303,106
sh600784,7.07,8307.1,0.485,-9.82,2.7283,107
sh600469,4.98,4948.1,0.5,-5.5,2.7277,108
sz002381,5.57,2362.5,0.571,-1.42,2.7241,109
sh603205,21.62,3132.7,0.617,-6.04,2.7199,110
sz002211,3.81,2050.4,0.599,-1.04,2.7113,111
sh600076,2.15,10105.2,1.095,-31.53,2.7105,112
sh603081,9.46,2748.6,0.671,-6.61,2.7046,113
sz002224,3.71,9299.9,0.339,-1.85,2.7023,114
sh603113,4.9,17659.8,0.324,-7.02,2.7016,115
sz301618,31.28,2985.6,0.561,-2.98,2.7,116
sh600419,8.75,6254.2,0.355,1.04,2.6958,117
sz301469,28.93,3137.5,0.61,-5.43,2.6929,118
sh601798,7.55,3499.7,0.549,-3.94,2.6922,119
sz002996,5.94,4437.9,0.57,-7.19,2.691,120
sz000751,4.58,24537.7,0.361,-12.76,2.6864,121
sz000793,2.05,2894.0,0.613,-4.65,2.6848,122
sz300486,17.8,16478.9,0.477,-15.64,2.6825,123
sz000715,5.3,5843.3,0.479,-5.53,2.6824,124
sz300453,9.08,5505.9,0.48,-4.92,2.6775,125
sh603029,16.71,10964.5,0.261,3.28,2.6753,126
sz002719,6.26,2419.2,0.745,-7.53,2.673,127
sz300107,6.7,7155.5,0.393,-2.47,2.6707,128
sz002715,13.09,3821.6,0.679,-9.72,2.6676,129
sh688588,9.14,3922.8,0.56,-5.19,2.665,130
sz003027,16.53,2415.8,0.632,-3.28,2.6561,131
sh603173,29.99,2905.9,0.612,-4.28,2.6535,132
sh688198,73.41,3813.2,0.569,-5.13,2.6511,133
sz301048,8.97,3248.9,0.536,-2.07,2.6508,134
sh603879,4.87,4168.1,0.692,-10.81,2.6502,135
sz000096,7.9,4701.4,0.476,-2.83,2.6497,136
sz300796,6.88,2945.2,0.507,0.29,2.6466,137
sz002946,14.45,7909.8,0.534,-10.69,2.644,138
sz000755,4.64,2198.5,0.679,-3.93,2.64,139
sh603838,13.78,3954.6,0.338,7.4,2.6383,140
sz300958,12.36,3128.0,0.569,-2.98,2.6333,141
sz301022,22.47,3065.1,0.546,-1.71,2.6273,142
sh603219,12.76,3300.0,0.72,-9.18,2.6256,143
sz002641,3.81,3176.5,0.652,-6.39,2.6255,144
sz300582,10.7,11565.5,0.36,-4.46,2.6225,145
sz002586,3.77,3723.7,0.777,-12.12,2.6166,146
sh688161,21.93,2848.2,0.545,-0.72,2.612,147
sz002574,5.02,7376.0,0.356,0.4,2.6081,148
sz002809,8.39,5257.7,0.499,-4.55,2.6079,149
sh688335,17.91,3519.1,0.766,-11.12,2.6078,150
sz301535,13.84,3656.0,0.531,-2.47,2.6059,151
sz300293,14.68,5091.9,0.583,-7.96,2.5996,152
sh688681,15.51,2948.3,0.744,-8.55,2.5986,153
sz301030,5.44,7504.8,1.621,-36.67,2.5827,154
sh603223,10.01,8066.2,0.404,-3.29,2.5815,155
sz001328,29.76,3979.4,0.411,3.3,2.5802,156
sh600976,27.02,4558.1,0.492,-2.45,2.58,157
sz002678,4.43,6363.2,0.563,-9.03,2.5777,158
sz301508,24.19,2270.6,0.62,-1.22,2.5772,159
sh603309,11.05,2831.9,0.61,-2.99,2.5747,160
sh603733,18.88,15585.8,0.423,-10.78,2.5736,161
sh603708,8.91,6830.4,0.432,-3.15,2.5727,162
sz002116,7.15,2518.0,0.627,-2.46,2.5699,163
sz002978,25.23,5484.5,0.493,-4.18,2.5692,164
sz300320,8.35,4161.2,0.491,-1.3,2.5633,165
sz301533,28.74,10182.1,0.268,4.81,2.555,166
sz002742,4.21,30683.0,0.442,-18.25,2.5521,167
sz002394,10.33,5599.4,0.445,-1.62,2.5485,168
