sym,close,amt20_wan,volbr,ret20_pct,comp_prov,rank_prov
sz300093,21.13,12906.3,0.553,-17.14,2.2817,106
sz300386,10.73,15285.5,0.287,-13.75,2.279,107
sz002889,12.06,2451.8,0.795,-4.51,2.2761,108
sh605099,28.62,4226.3,0.662,-8.12,2.2735,109
sz300894,10.26,7560.8,0.616,-12.9,2.2708,110
sz002857,17.69,3470.5,1.008,-9.42,2.2703,111
sz300371,10.2,3148.3,0.596,-4.58,2.2698,112
sh605286,24.95,10107.6,0.397,-12.27,2.2693,113
sz301590,68.08,5340.2,0.481,-7.8,2.2658,114
sz300831,13.91,5583.4,0.659,-10.55,2.2641,115
sz002521,6.28,2634.4,0.938,-6.27,2.2632,116
sz300228,6.58,7192.2,0.563,-11.68,2.2627,117
sh603383,26.83,7479.1,0.377,-9.02,2.2613,118
sh600548,8.03,4412.6,0.3,-2.43,2.2589,119
sz000590,8.97,2634.4,0.697,-3.96,2.2563,120
sz000755,4.66,2145.8,0.7,-2.1,2.2553,121
sz002529,6.59,3403.1,0.731,-6.66,2.2547,122
sz300732,5.74,3035.8,0.62,-4.33,2.2506,123
sz300011,5.84,2592.0,0.672,-3.47,2.2498,124
sz301332,7.63,2315.3,0.873,-4.39,2.2495,125
sh601065,6.67,2975.0,0.558,-3.33,2.2493,126
sh601686,5.02,2366.6,0.79,-3.83,2.2491,127
sz002381,5.55,2306.9,0.489,0.0,2.2488,128
sz300536,8.35,5659.0,0.538,-8.94,2.2464,129
sh603967,11.53,2644.4,0.581,-2.45,2.2399,130
sz300078,2.7,8468.8,0.655,-14.01,2.2366,131
sz002072,7.36,16418.8,0.452,-17.3,2.2344,132
sz301255,19.15,2403.7,0.737,-3.23,2.2295,133
sz301296,6.38,2041.2,0.735,-1.69,2.2283,134
sh605338,17.63,3512.0,0.67,-5.97,2.2264,135
sz000546,4.35,4635.8,0.77,-9.56,2.2261,136
sz002116,7.11,2491.7,0.585,-1.8,2.2258,137
sh603277,11.24,2718.5,0.935,-6.1,2.2253,138
sz300485,8.51,4140.5,0.781,-8.59,2.2232,139
sz300210,7.13,5751.6,1.015,-13.58,2.2229,140
sz300942,6.55,3588.1,0.513,-4.1,2.2206,141
sz002884,15.4,2435.9,0.693,-2.78,2.2198,142
sh603717,5.93,5482.5,0.649,-9.74,2.219,143
sh600730,8.91,9604.0,0.584,-14.08,2.2167,144
sh600925,4.08,4958.5,0.488,-6.64,2.2151,145
sz301116,9.12,4747.7,0.496,-6.37,2.215,146
sz300935,27.61,5552.2,0.767,-11.05,2.2135,147
sh603176,5.29,2300.5,0.48,0.57,2.2128,148
sz300295,11.7,2897.6,0.865,-5.95,2.2119,149
sz000691,9.08,7951.5,0.736,-14.02,2.2111,150
sh603815,5.09,3327.7,0.838,-6.95,2.2086,151
sh600241,7.31,2299.8,0.583,-0.81,2.2076,152
sz300807,35.72,3473.1,1.169,-9.8,2.2059,153
sh600987,6.31,2934.0,0.7,-4.39,2.2046,154
sh603089,9.62,5421.1,0.46,-6.87,2.2031,155
sz300501,9.45,3307.0,0.768,-6.16,2.2016,156
sz002198,3.61,2423.1,0.29,4.03,2.1989,157
sz002656,2.76,3195.5,0.705,-5.15,2.1981,158
sh603722,29.67,3009.1,0.431,-0.9,2.1966,159
sh603948,19.34,2247.5,0.797,-2.81,2.1957,160
sz002211,3.8,2014.8,0.673,-0.52,2.1944,161
sz300343,5.33,6942.8,0.432,-8.58,2.1938,162
sh603895,25.87,2929.1,0.458,-1.07,2.1937,163
sh603682,9.65,10846.2,0.596,-15.05,2.1909,164
sz002662,3.1,3548.4,0.631,-5.2,2.1902,165
sh603271,38.92,6019.5,0.577,-9.38,2.1899,166
sz000030,3.92,4058.9,0.734,-7.55,2.1881,167
sh603013,14.24,5120.2,0.556,-7.59,2.1873,168
sz002616,4.81,4304.7,0.328,-2.04,2.1868,169
sh603213,13.62,2513.2,0.671,-2.44,2.1856,170
sh605337,9.01,3034.2,0.538,-2.49,2.1831,171
sh603535,6.21,2234.0,0.626,-0.8,2.1826,172
sz000544,7.16,2057.2,0.834,-2.19,2.1823,173
sh600796,5.06,2705.0,0.535,-1.36,2.1807,174
sh600860,7.55,5134.2,0.822,-10.44,2.1782,175
sz002629,4.29,6879.2,0.723,-12.09,2.1709,176
sz001382,16.41,4253.4,0.318,-1.5,2.1705,177
sz002641,3.78,3159.2,0.888,-6.44,2.1683,178
sh605368,6.66,2914.4,0.486,-1.19,2.168,179
sz300929,16.02,6344.2,0.415,-7.13,2.1667,180
sz301130,28.19,19077.0,0.679,-20.86,2.1588,181
sz300962,13.16,2565.8,0.855,-4.08,2.1542,182
sz002991,37.11,3516.4,0.488,-2.75,2.1519,183
sh600510,6.67,3718.5,0.903,-7.87,2.1516,184
sz002725,10.86,3903.9,0.587,-5.07,2.1498,185
sh600997,5.14,7013.9,0.722,-11.99,2.1472,186
sh600810,6.25,4381.8,0.498,-4.87,2.1469,187
sz300176,4.38,5540.9,0.524,-7.4,2.1459,188
sz301048,8.92,3128.3,0.499,-1.76,2.145,189
sz301246,17.67,12389.7,0.742,-17.39,2.1444,190
sh603194,33.37,2940.4,0.622,-2.82,2.1436,191
sz002469,6.03,7484.8,0.37,-7.52,2.1423,192
sz300187,4.51,3158.8,0.636,-3.63,2.1422,193
sz300193,7.92,2878.4,0.471,-0.5,2.14,194
sh600834,7.62,2143.8,0.529,1.33,2.14,195
sz002996,5.88,4175.1,0.602,-5.77,2.1397,196
sh603879,4.9,3823.0,0.779,-6.84,2.1368,197
sz000715,5.3,5469.1,0.492,-6.69,2.136,198
sz300466,7.13,3262.0,0.7,-4.55,2.1339,199
sz300150,4.17,2699.9,0.678,-2.57,2.1333,200
sz300086,5.37,12293.5,1.24,-21.03,2.1329,201
sz301053,36.13,11767.9,0.258,-8.88,2.1327,202
sh600422,8.04,3586.4,0.861,-6.94,2.1309,203
sh600976,26.8,4411.1,0.412,-3.32,2.1305,204
sz301327,41.5,4858.2,0.55,-6.34,2.1276,205
sh603959,4.31,3343.0,0.491,-2.05,2.1266,206
sz300789,16.39,5069.3,0.753,-9.05,2.1238,207
sh603312,31.79,2346.1,0.586,-0.06,2.1229,208
sz301026,18.86,8802.6,0.563,-11.91,2.1217,209
sh605266,15.68,2496.4,0.623,-1.07,2.1204,210
sz000548,4.58,2507.3,0.496,0.66,2.1155,211
sh605298,44.04,3280.9,1.266,-8.82,2.1146,212
sh600117,2.17,3359.7,1.055,-7.66,2.1135,213
sz300621,7.09,3037.6,0.654,-3.14,2.1118,214
sz000541,4.9,2414.4,0.589,-0.2,2.1079,215
sz300631,21.31,3139.5,0.561,-2.25,2.1074,216
sz000529,4.97,2936.0,0.477,-0.4,2.1066,217
sh603187,10.65,4030.3,0.558,-4.48,2.1061,218
sh601158,3.98,2705.4,0.814,-3.63,2.1048,219
sh603370,27.97,4125.4,2.151,-14.75,2.1021,220
sz300248,8.2,6420.8,0.439,-6.92,2.1019,221
sz002393,13.82,2747.2,0.736,-2.95,2.0992,222
sz301022,22.3,3020.6,0.592,-2.19,2.0986,223
sh600052,3.64,5012.1,0.597,-6.91,2.0979,224
sz301609,30.65,6141.9,0.463,-6.87,2.0979,225
sz300313,12.37,44758.6,0.497,-25.66,2.097,226
